dataset,protein,cell,seed,pairs,comp,full,gain,published
KHSRP:HepG2,KHSRP,HepG2,2007,5289,0.6403707992283131,0.7340482093762885,0.09367741014797537,0.0911887709809573
KHSRP:K562,KHSRP,K562,2007,23184,0.6848972882228577,0.751767594027389,0.06687030580453135,0.0696133583965924
LARP4:HepG2,LARP4,HepG2,2007,5429,0.5636605784731045,0.6332903248658709,0.06962974639276642,0.0641478377532284
LARP4:K562,LARP4,K562,2007,430,0.5616982152514872,0.5571335857220119,-0.004564629529475339,0.0095078420767983
LIN28B:K562,LIN28B,K562,2007,6916,0.5728506809467053,0.6740981424286346,0.10124746148192931,0.0979798982485353
LSM11:K562,LSM11,K562,2007,1339,0.607116543339054,0.6860569986073006,0.07894045526824667,0.0896536991869693
MATR3:HepG2,MATR3,HepG2,2007,6991,0.6480597967663064,0.7013338419601178,0.0532740451938114,0.0518766992263241
MATR3:K562,MATR3,K562,2007,4864,0.6915833533965979,0.7423833281709877,0.0507999747743898,0.0592879491114562
MBNL1:K562,MBNL1,K562,2007,1202,0.6346099540145237,0.7168065703029615,0.08219661628843777,0.0712996364904857
METTL1:K562,METTL1,K562,2007,481,0.6156439503632851,0.6596141959967323,0.0439702456334472,0.0759246372551987
MORC2:K562,MORC2,K562,2007,891,0.6594502198692247,0.6622503876525574,0.0028001677833326966,0.0010480160124753
MTPAP:K562,MTPAP,K562,2007,1083,0.5723764141363762,0.605303656185709,0.03292724204933284,0.0533912416264453
NCBP2:HepG2,NCBP2,HepG2,2007,3226,0.6023186531932696,0.672159499940233,0.06984084674696345,0.0641689365966003
NKRF:HepG2,NKRF,HepG2,2007,3777,0.7861659225406566,0.7942724132780036,0.008106490737346927,0.0103544938044116
NOLC1:K562,NOLC1,K562,2007,1570,0.5765860684003408,0.6148488782506389,0.038262809850298174,0.0299801208973994
NONO:K562,NONO,K562,2007,11301,0.6618888217616052,0.721541956537241,0.05965313477563572,0.0566100375405955
PCBP1:HepG2,PCBP1,HepG2,2007,940,0.6380545495699411,0.6403870529651426,0.002332503395201524,0.0060457220461748
PCBP2:HepG2,PCBP2,HepG2,2007,8459,0.8178035620059574,0.8509065535488866,0.03310299154292917,0.0316609772091074
PHF6:K562,PHF6,K562,2007,695,0.6129993271569795,0.656680296050929,0.04368096889394957,0.0212307851560478
PPIL4:K562,PPIL4,K562,2007,659,0.5211418413423566,0.5270251288912018,0.005883287548845151,0.0314611967827281
PRPF4:HepG2,PRPF4,HepG2,2007,9093,0.7641609547367065,0.7781797363555684,0.01401878161886183,0.0161628080741856
PTBP1:HepG2,PTBP1,HepG2,2007,7872,0.8113433214588911,0.8573596900638881,0.04601636860499703,0.0438025486784156
PTBP1:K562,PTBP1,K562,2007,7521,0.8043300148583655,0.8432712475449453,0.038941232686579785,0.0380593889234008
PUM1:K562,PUM1,K562,2007,2658,0.589804137713936,0.6926902953787168,0.10288615766478082,0.1112005666270911
QKI:HepG2,QKI,HepG2,2007,9990,0.6200269338407477,0.8691003716429143,0.24907343780216662,0.2473697821946068
QKI:K562,QKI,K562,2007,2189,0.668980727383752,0.9203194426386678,0.2513387152549158,0.2376649224777485
RBFOX2:K562,RBFOX2,K562,2007,3519,0.6329962439114873,0.7196157812083488,0.08661953729686145,0.0843183042148251
RBM15:HepG2,RBM15,HepG2,2007,1500,0.6046991111111111,0.6557546666666667,0.05105555555555563,0.0421408888888887
RPS3:HepG2,RPS3,HepG2,2007,5658,0.5567283304351325,0.6741052156245202,0.11737688518938771,0.1223227564932758
RPS3:K562,RPS3,K562,2007,2372,0.5735113351666009,0.6820131722257137,0.10850183705911276,0.1264595519964508
SAFB2:K562,SAFB2,K562,2007,3744,0.5528503012226971,0.5999143501397107,0.04706404891701366,0.0406625672300753
SLTM:K562,SLTM,K562,2007,3631,0.6302525431842041,0.6600284993485743,0.029775956164370232,0.0340020454118278
SMNDC1:K562,SMNDC1,K562,2007,2464,0.5933723211650362,0.6730157778503965,0.07964345668536021,0.0784952828442
SND1:K562,SND1,K562,2007,4132,0.555963818388157,0.7017242118511202,0.1457603934629632,0.1417393488265739
SRSF1:HepG2,SRSF1,HepG2,2007,1791,0.614800848338722,0.7299672255439366,0.11516637720521461,0.1179618546856748
SRSF1:K562,SRSF1,K562,2007,3864,0.5950798285602835,0.7725380322261229,0.17745820366583942,0.1788301607662598
STAU2:HepG2,STAU2,HepG2,2007,848,0.6192803822534709,0.6382539938590246,0.018973611605553664,0.0126907929868279
SUB1:HepG2,SUB1,HepG2,2007,3297,0.6086382515736358,0.6423064174755058,0.03366816590186994,0.0348771582956685
TAF15:HepG2,TAF15,HepG2,2007,768,0.6524268256293403,0.6829800075954862,0.03055318196614587,0.0302530924479166
TIA1:HepG2,TIA1,HepG2,2007,1729,0.6067615985731112,0.6382858868932352,0.031524288320123994,0.0450308268335115
TIA1:K562,TIA1,K562,2007,5883,0.62087645456739,0.6624467212057294,0.041570266638339404,0.0463367642511899
TRA2A:HepG2,TRA2A,HepG2,2007,921,0.6747928949437718,0.8086451845642926,0.13385228962052076,0.1169337487813014
U2AF1:K562,U2AF1,K562,2007,1230,0.6036525877453897,0.7408493621521581,0.13719677440676847,0.1190118315817303
U2AF2:HepG2,U2AF2,HepG2,2007,10702,0.6006850666120075,0.7532497414452544,0.15256467483324687,0.1520729467166455
UCHL5:HepG2,UCHL5,HepG2,2007,2233,0.557811229954782,0.6707044056210942,0.11289317566631218,0.1201334298914483
XPO5:HepG2,XPO5,HepG2,2007,4605,0.6350502274707306,0.67498732082038,0.039937093349649455,0.0398719417737774
YBX3:HepG2,YBX3,HepG2,2007,2042,0.5808506188839465,0.6161722821723243,0.035321663288377825,0.0329236858488874
YBX3:K562,YBX3,K562,2007,17979,0.5559362426900947,0.7087492063011226,0.15281296361102792,0.1528321750783023
YWHAG:K562,YWHAG,K562,2007,798,0.5815321511799549,0.6308393163359526,0.049307165155997645,0.0151412365500217
ZNF622:K562,ZNF622,K562,2007,14969,0.5732160000866868,0.7311452866040951,0.15792928651740823,0.1608760628290428
ZNF800:HepG2,ZNF800,HepG2,2007,2938,0.5639201774267467,0.6865059192450652,0.1225857418183185,0.1198126379485078
ZNF800:K562,ZNF800,K562,2007,2436,0.605232372378202,0.7377346102927893,0.13250223791458726,0.1499385921629848
