dataset,frac_sense_gc,frac_sense_dn,frac_amb_gc,frac_amb_dn,n_neg_gc,n_neg_dn,intron_kept_gc,exon_nc_kept_gc,gc_kept_gc,intron_dropped_gc,exon_nc_dropped_gc,gc_dropped_gc,intron_kept_dn,exon_nc_kept_dn,gc_kept_dn,intron_dropped_dn,exon_nc_dropped_dn,gc_dropped_dn,diff
FMR1:K562,0.4122292418772563,0.4456692913385827,0.16064981949458484,0.15118110236220472,4432,4445,0.004378762999452655,0.0021893814997263274,0.6077871373836891,0.003838771593090211,0.004222648752399232,0.6055768522072937,0.005047955577990914,0.002523977788995457,0.6136900050479556,0.006899350649350649,0.004058441558441558,0.6053082386363636,0.03344004946132639
FXR2:K562,0.42635823429541597,0.4579557428872497,0.14813242784380307,0.13656480505795573,4712,4745,0.08113489298158287,0.029865604778496764,0.6074452463912394,0.07177210506844248,0.029226785053644098,0.6088995930447652,0.08421537045559135,0.026691210308329497,0.6115930050621262,0.07698289269051321,0.03188180404354588,0.611478771384137,0.031597508591833745
GARS:K562,0.4452423698384201,0.43462897526501765,0.1526032315978456,0.1696113074204947,557,566,0.41935483870967744,0.18951612903225806,0.545921370967742,0.3268608414239482,0.2783171521035599,0.5447258899676376,0.42276422764227645,0.17886178861788618,0.5493556910569106,0.34375,0.278125,0.5419628125000001,-0.010613394573402435
GRWD1:K562,0.4056711639606677,0.49325714285714284,0.16075920420763778,0.16022857142857144,4373,4375,0.019165727170236752,0.03156708004509583,0.46978838782412624,0.009619084263178146,0.0357829934590227,0.47294694113120433,0.015291936978683966,0.028730305838739572,0.4681272474513439,0.012178619756427604,0.03924221921515562,0.4737366711772666,0.08758597889647513
HNRNPL:K562,0.44893762851267993,0.39143835616438355,0.09732693625771076,0.09606164383561644,5836,5840,0.8801526717557252,0.06450381679389312,0.4480096564885496,0.8560323383084577,0.07587064676616916,0.45093358208955225,0.8722659667541557,0.06692913385826772,0.44551741032370956,0.8635340461451885,0.07315700619020822,0.4426486775464266,-0.05749927234829638
LIN28B:K562,0.420908039329092,0.44534412955465585,0.15890688259109312,0.16324465008675534,6916,6916,0.0663002404671934,0.02026794915836482,0.47772274132600484,0.04868913857677903,0.02746566791510612,0.47945745318352057,0.06785714285714285,0.02142857142857143,0.4755634090909091,0.046663190823774764,0.026850886339937433,0.4804704640250261,0.024436090225563867
MBNL1:K562,0.4321608040201005,0.46089850249584025,0.12981574539363483,0.15557404326123128,1194,1202,0.560077519379845,0.12015503875968993,0.5067773255813953,0.532448377581121,0.14896755162241887,0.5052464601769912,0.5667870036101083,0.11732851985559567,0.5120862815884476,0.5308641975308642,0.15123456790123457,0.5009023148148148,0.02873769847573976
MORC2:K562,0.4629404617253949,0.5095398428731762,0.14702308626974483,0.13804713804713806,823,891,0.6299212598425197,0.14173228346456693,0.6143325459317586,0.6380090497737556,0.1583710407239819,0.607839592760181,0.7004405286343612,0.09691629955947137,0.6201224669603524,0.620137299771167,0.1853546910755149,0.6314457665903892,0.04659938114778134
NONO:K562,0.4357757076316732,0.5043677755228095,0.11501254030813328,0.12415071031500927,11164,11333,0.810688591983556,0.08509763617677286,0.5894033299075027,0.7723448166375615,0.10985870773138594,0.5899016034291158,0.8280265920223933,0.07750174947515745,0.5815368264520644,0.7550293751112693,0.11874666191917393,0.5925427096314759,0.06859206789113631
PPIL4:K562,0.4133738601823708,0.424886191198786,0.14437689969604864,0.13657056145675264,658,659,0.6323529411764706,0.22058823529411764,0.45131727941176475,0.6113989637305699,0.266839378238342,0.4506619170984456,0.6178571428571429,0.24285714285714285,0.4519303571428572,0.6226912928759895,0.25065963060686014,0.45101662269129283,0.01151233101641519
