dataset,protein,cell,auroc_dn,n_dn,auroc_gc,n_gc,auroc_neg2,n_neg2
TIA1:HepG2,TIA1,HepG2,0.6406993815900699,3458,0.8287204865391221,3458,0.8702941452933843,3458
TIA1:K562,TIA1,K562,0.6609605477818653,11766,0.8395118245254836,11662,0.7741687262160174,11662
TRA2A:HepG2,TRA2A,HepG2,0.8055375771744114,1842,0.9263705103969753,1840,0.9282715028355387,1840
U2AF1:K562,U2AF1,K562,0.7265926366580738,2460,0.8364418073926753,2458,0.7892019615463298,2458
U2AF2:HepG2,U2AF2,HepG2,0.7494550207641821,21404,0.8572014259176628,21398,0.8569770587132449,21398
UCHL5:HepG2,UCHL5,HepG2,0.6891668332902485,4466,0.7394820267205855,4462,0.7731550916238545,4462
XPO5:HepG2,XPO5,HepG2,0.6714237094720961,9236,0.7558172879464173,9114,0.813795548729094,9114
YBX3:HepG2,YBX3,HepG2,0.6148856386116817,4084,0.64745860280708,4082,0.7147210744173642,4082
YBX3:K562,YBX3,K562,0.708602388617721,35958,0.7361642887464228,35958,0.8181253270183848,35958
YWHAG:K562,YWHAG,K562,0.6030238503526988,1596,0.7131485338888,1580,0.6911664797308124,1580
ZNF622:K562,ZNF622,K562,0.7330067817221528,29938,0.8163144995022993,29934,0.865782095278328,29934
ZNF800:HepG2,ZNF800,HepG2,0.690040042428941,5876,0.7438811586321081,5872,0.7947648146841985,5872
ZNF800:K562,ZNF800,K562,0.7443248306060435,4872,0.8216767430439128,4860,0.8487557790987146,4860
