arm,dataset,rows,n_pos,n_neg,pos_mismatch,neg_mismatch,auroc_stored,tv_stored,agree_published,none_published,auroc_published,tv_published,agree_reversed,none_reversed,auroc_reversed,tv_reversed,agree_coding_first,none_coding_first,auroc_coding_first,tv_coding_first,agree_majority,none_majority,auroc_majority,tv_majority
gc,HepG2:FAM120A,15510,7755,7755,0,914,0.5,0.0,14596,0,0.551710894699495,0.09451966473243067,12699,0,0.5339500191428255,0.048484848484848526,14365,0,0.5562748934673705,0.09451966473243069,14520,0,0.5590344367166459,0.10689877498388135
gc,HepG2:FASTKD2,1646,823,823,0,131,0.5,0.0,1515,0,0.5612021632028157,0.10328068043742406,990,0,0.5505655301928604,0.0643985419198056,1466,0,0.5591322680706127,0.10449574726609964,1451,0,0.5885027807756644,0.1470230862697448
gc,HepG2:FKBP4,2740,1370,1370,0,238,0.5,0.0,2502,0,0.5708468751664979,0.12043795620437953,2190,0,0.5503721562150354,0.09708029197080291,2484,0,0.5717049389951515,0.12043795620437953,2495,0,0.5731914326815494,0.13138686131386865
gc,HepG2:FTO,1058,529,529,0,48,0.5,0.0,1010,0,0.5398333339289096,0.0661625708884688,499,0,0.58022234054338,0.1342155009451796,929,0,0.5559085337745362,0.09451795841209826,942,0,0.599915666396275,0.15311909262759923
gc,HepG2:FUBP3,5518,2759,2759,0,41,0.5,0.0,5477,0,0.5082203539347518,0.01159840521928232,2963,0,0.5878926537959857,0.14534251540413193,5411,0,0.5190686357646483,0.029720913374411045,5456,0,0.511465918452523,0.01848495831823123
gc,HepG2:FUS,1736,868,868,0,114,0.5,0.0,1622,0,0.5463404404425662,0.08064516129032254,1445,0,0.5212237730680201,0.0414746543778802,1616,0,0.5465163042324109,0.08064516129032254,1620,0,0.5480758510480155,0.0864055299539171
gc,HepG2:FXR2,7740,3870,3870,0,657,0.5,0.0,7083,0,0.5858210310544906,0.16847545219638238,2730,0,0.6780036589681443,0.2757105943152455,6541,0,0.6257062542982861,0.24987080103359172,6455,0,0.6631467793735686,0.2369509043927648
gc,HepG2:G3BP1,12956,6478,6478,0,834,0.5,0.0,12122,0,0.563492762117604,0.12627354121642484,3877,0,0.6694598818372222,0.26258104353195433,10228,0,0.6600252013107084,0.31954306884841,10159,0,0.709660709756374,0.2922198209323865
gc,HepG2:GRSF1,1990,995,995,0,78,0.5,0.0,1912,0,0.5292068382111563,0.055276381909547714,947,0,0.5407807883639302,0.059296482412060314,1789,0,0.522942349940658,0.030150753768844227,1815,0,0.5700573217848034,0.10753768844221107
gc,HepG2:GRWD1,44144,22072,22072,0,2907,0.5,0.0,41237,0,0.5675261879767175,0.12771837622326931,13875,0,0.6870468746900487,0.27940376948169626,35823,0,0.6528549557850869,0.29353932584269665,35441,0,0.6865036756620825,0.25575389633925333
gc,HepG2:GTF2F1,8502,4251,4251,0,467,0.5,0.0,8035,0,0.5424734634235259,0.07386497294754173,6501,0,0.5352167265111656,0.06704304869442482,7928,0,0.5436987967628357,0.07386497294754173,7896,0,0.5571943690335693,0.10491649023759117
gc,HepG2:HLTF,7284,3642,3642,0,438,0.5,0.0,6846,0,0.5573549150930281,0.09198242723778143,4657,0,0.5382146209893063,0.05216913783635367,6615,0,0.5742165507000667,0.1161449752883031,6724,0,0.5573103589491204,0.10516199890170236
gc,HepG2:HNRNPC,6540,3270,3270,0,229,0.5,0.0,6311,0,0.5273132171814943,0.05290519877675839,5964,0,0.5139096035687233,0.027522935779816543,6301,0,0.5275642248594862,0.05290519877675839,6307,0,0.5288015412095877,0.05626911314984713
gc,HepG2:HNRNPK,11236,5618,5618,0,689,0.5,0.0,10547,0,0.5433441890297942,0.07796368814524739,8872,0,0.5337294868335657,0.06621573513705946,10411,0,0.5440890105432101,0.07796368814524739,10551,0,0.5437148888641896,0.08027767888928442
gc,HepG2:HNRNPL,17754,8877,8877,0,517,0.5,0.0,17237,0,0.5235169536720724,0.04596147347076711,16170,0,0.5193117664595898,0.025571702151627795,17175,0,0.5244485139292865,0.045961473470767115,17277,0,0.5223399400787773,0.04359580939506591
gc,HepG2:HNRNPM,26790,13395,13395,0,948,0.5,0.0,25842,0,0.5297531949448248,0.05830533781261668,24828,0,0.514345393874718,0.028518103770063464,25786,0,0.530026981871777,0.05830533781261668,25855,0,0.5299238976062698,0.05920119447555054
gc,HepG2:HNRNPUL1,926,463,463,0,76,0.5,0.0,850,0,0.5876199450480246,0.14038876889848814,766,0,0.5562418073508764,0.11015118790496764,846,0,0.5880747682733977,0.14038876889848814,858,0,0.569044498038429,0.12095032397408205
gc,HepG2:IGF2BP1,8872,4436,4436,0,392,0.5,0.0,8480,0,0.5422118583017381,0.07551848512173123,4039,0,0.5601441572396029,0.10933273219116324,7881,0,0.5398638160927764,0.0719116321009919,8070,0,0.5775596378836652,0.11880072137060416
gc,HepG2:IGF2BP3,4432,2216,2216,0,133,0.5,0.0,4299,0,0.5299324570892362,0.055956678700361015,1686,0,0.5866882143648425,0.1430505415162455,3947,0,0.5256668355510954,0.04106498194945846,4045,0,0.5787649348681724,0.11687725631768955
gc,HepG2:ILF3,7022,3511,3511,0,252,0.5,0.0,6770,0,0.5295513039906075,0.05724864710908573,6429,0,0.5115741542571051,0.022785531187695794,6731,0,0.5305428980538116,0.05724864710908573,6782,0,0.528615724628646,0.05582455140985475
gc,HepG2:KHSRP,10560,5280,5280,0,327,0.5,0.0,10233,0,0.5273708139634986,0.04526515151515151,8105,0,0.5378306861225896,0.07518939393939388,10198,0,0.52812525109045,0.045265151515151515,10138,0,0.5272782512626263,0.05189393939393938
gc,HepG2:LARP4,10842,5421,5421,0,290,0.5,0.0,10552,0,0.5266977087097083,0.04630142040213983,3749,0,0.6303505150415448,0.2263420033204206,9321,0,0.5481480551372618,0.08135030437188712,9429,0,0.6190149153505087,0.20236118797269873
gc,HepG2:LIN28B,7522,3761,3761,0,410,0.5,0.0,7112,0,0.5555132755668898,0.10582291943632015,2824,0,0.613393444990679,0.18718425950545065,6445,0,0.596387227793951,0.18080297793140124,6382,0,0.6360161924383679,0.19569263493751662
gc,HepG2:LSM11,4890,2445,2445,0,162,0.5,0.0,4728,0,0.5291719255105156,0.04826175869120654,1890,0,0.6733104997051702,0.28179959100204494,4021,0,0.5736416291333676,0.13333333333333333,4408,0,0.582575097962956,0.15092024539877297
gc,HepG2:MATR3,13968,6984,6984,0,369,0.5,0.0,13599,0,0.5217736269056814,0.04281214203894614,13260,0,0.5087514507058516,0.016752577319587653,13588,0,0.5218306218501068,0.04281214203894614,13631,0,0.5198979089333958,0.03923253150057272
gc,HepG2:NCBP2,6372,3186,3186,0,231,0.5,0.0,6141,0,0.5413913133770668,0.05084745762711864,2206,0,0.5775644109961623,0.1274325172630257,5893,0,0.5332485895409491,0.040803515379786534,5345,0,0.6590615959890433,0.27620841180163214
gc,HepG2:NKRF,7074,3537,3537,0,487,0.5,0.0,6587,0,0.5577159234871489,0.1048911506926774,5877,0,0.5317686472717151,0.062199604184336996,6534,0,0.558848104320504,0.1048911506926774,6521,0,0.564379955539281,0.12355103194797853
gc,HepG2:NOLC1,3246,1623,1623,0,286,0.5,0.0,2960,0,0.5824092138236205,0.13863216266173747,870,0,0.6198394232021287,0.2230437461491066,2855,0,0.5909680201690958,0.14602587800369682,2558,0,0.6700611473469978,0.23475046210720887
gc,HepG2:NSUN2,948,474,474,0,56,0.5,0.0,892,0,0.5570866492193203,0.08649789029535862,716,0,0.5240479623991883,0.04008438818565405,869,0,0.5573358970250494,0.08227848101265822,863,0,0.5583684950773559,0.10759493670886076
gc,HepG2:PABPN1,7890,3945,3945,0,317,0.5,0.0,7573,0,0.5402898858030492,0.07427122940430926,2153,0,0.7079369210034682,0.37186311787072246,6004,0,0.6324634189047438,0.26032953105196444,6571,0,0.6437655597160578,0.24765525982256015
gc,HepG2:PCBP1,1858,929,929,0,49,0.5,0.0,1809,0,0.5205077163193869,0.036598493003229295,746,0,0.5462347675255289,0.061356297093649106,1647,0,0.5069289871512477,0.009687836383207771,1737,0,0.5463842389874873,0.08180839612486548
gc,HepG2:PCBP2,17178,8589,8589,0,649,0.5,0.0,16529,0,0.5251833171501274,0.04540691582256374,12059,0,0.5092041822278456,0.016299918500407483,16034,0,0.531807349944838,0.0532075911049016,16417,0,0.5300884748341423,0.05390615904063334
gc,HepG2:PPIG,46252,23126,23126,0,3034,0.5,0.0,43218,0,0.5640980128496622,0.12436218974314621,13506,0,0.6980941967713522,0.3196834731471072,36178,0,0.669571560710817,0.33049381648361154,35110,0,0.7278165631086322,0.3450661593012194
gc,HepG2:PRPF4,17734,8867,8867,0,1195,0.5,0.0,16539,0,0.5486894287038605,0.08875606180218788,12192,0,0.5417196781494188,0.080974399458667,16089,0,0.548961019877864,0.0887560618021879,16058,0,0.5676156902279159,0.1316115935491147
gc,HepG2:PRPF8,39012,19506,19506,0,2760,0.5,0.0,36252,0,0.5558539123570483,0.08869065928432275,24699,0,0.5583006549583593,0.11176048395365525,35284,0,0.5597937675366753,0.09315082538706038,34420,0,0.6005470831370177,0.17410027683789603
gc,HepG2:PTBP1,16698,8349,8349,0,499,0.5,0.0,16199,0,0.5222874061801541,0.042280512636243814,14957,0,0.5124782727910981,0.024673613606419936,16138,0,0.5226401243133265,0.042280512636243814,16170,0,0.5245862320698388,0.04790992933285423
