dataset,n,se_delong,ratio_clustering_10kb,ratio_clustering_100kb,ratio_clustering_1000kb,ratio_fitting
MATR3:K562,9728,0.0006135227327140711,0.9888459914104427,1.0373789127653839,1.0405241773148914,0.88892004894447
MBNL1:K562,2388,0.005242585739791344,1.1052924437664235,1.186051316540533,1.1440808129746567,1.051517478566398
METTL1:K562,962,0.005524334445000646,1.055375291004135,1.0977332626772578,1.0920535608914106,0.990283313925524
MORC2:K562,1646,0.00273828639868766,1.1854831970749882,1.0845932739352813,1.1279879303756184,1.4259908621993402
MTPAP:K562,2154,0.005236573462742886,0.9582902900014497,1.071419313045495,1.0610501569666186,0.8390812781464846
NCBP2:HepG2,6372,0.002574783478479383,1.0508087634781311,0.9035982356255915,0.9908421467086933,0.9798652423787433
NKRF:HepG2,7074,0.0008442732983012353,1.0005678276768049,0.9943913942357535,1.0127901489503282,0.7247367701315847
NOLC1:K562,3134,0.0022316521076003186,1.123223518833637,1.182440766577483,1.0621804736015599,1.1233721009055413
NONO:K562,22328,0.001394467152915547,1.0695480159796336,1.1302440441065484,1.1530837261671651,1.0738696491788826
PCBP1:HepG2,1858,0.001967119060250245,1.166535704089612,1.361548407355521,1.291572450242106,1.3479296710589836
PCBP2:HepG2,17178,0.0006336376652595752,1.136392930199418,1.0950617854123081,1.11588504229597,1.046924096934984
PHF6:K562,1352,0.0037010625493620257,1.1062493127583255,1.1077821106026362,1.036402661274831,1.3100568701189224
PPIL4:K562,1316,0.001193550845106043,1.667031772141542,1.6345015226314175,1.6866412261644033,1.604213483409899
PRPF4:HepG2,17734,0.0006245232324785304,1.0924705341425904,1.0939213413416649,1.14555424659869,1.316681758972428
PTBP1:HepG2,16698,0.0004504861970012855,1.255720756085953,1.3093878304235342,1.4572335825217773,1.1378733902421798
PTBP1:K562,15570,0.00039754432419613375,1.4425844203517693,1.438255740347951,1.3824651285811325,0.8677769693237263
PUM1:K562,5302,0.0040177141444486955,1.07943735340022,1.1014325003509016,1.1430649870619454,1.2734258507302494
QKI:HepG2,19976,0.0026256771466270715,1.0500750036314415,1.048093179161926,1.0976576801046347,0.9254813253355586
QKI:K562,4378,0.004617841251685168,1.1271592353208058,1.0250301430123099,1.1251424176907487,0.7843063323429308
RBFOX2:K562,6968,0.0028950790606885354,1.1088984064619827,1.1013852687169698,1.2498669188528617,1.1263505167215575
RBM15:HepG2,2986,0.005342654292997257,1.0567570406771583,1.0336237950570213,1.0463233560001186,0.781335261176759
RPS3:HepG2,11294,0.004303915049595084,1.1748185899612578,1.2162401053240524,1.3067314655441777,0.9244096373141106
RPS3:K562,4738,0.005313668505611956,1.2497859371832034,1.1895253797057734,1.2108221815223006,0.9871882141140333
SAFB2:K562,7488,0.0014810547099107889,1.0513553819383166,0.9982293179012276,1.030648992167498,0.9962928781415291
SLTM:K562,7148,0.00255656661167934,1.09495948561842,1.063041922666011,1.1870072998950212,0.9835795413976423
SMNDC1:K562,4896,0.0035413267872766614,1.1882284226550899,1.2570387550794582,1.2226603257879654,1.0788284649410103
SND1:K562,8260,0.004816575272860389,1.2356846021468941,1.321927573594681,1.3311820932833631,0.8327925389962463
SRSF1:HepG2,3574,0.004071532662344235,0.9875000174490178,1.0882876816187887,1.0860831625499174,1.3530111456368572
SRSF1:K562,7722,0.003619358346341718,1.0472134359032952,1.1162641849787698,1.0973984866571895,1.0777383854419456
STAU2:HepG2,1684,0.0032853538756318513,1.054337534101084,1.1107556182695901,0.9675588565450073,1.0708846093072057
SUB1:HepG2,6592,0.0014487582239498028,1.071374165216938,1.053259488043634,1.1064582095526536,1.086984936141003
TAF15:HepG2,1536,0.001203725259688106,1.0488517703428404,1.030851135059529,1.0000412106161913,1.0192745340591116
TIA1:HepG2,3458,0.001431054886265818,1.0225838293205924,1.127500296663742,1.0871879304860657,1.2005483628917775
TIA1:K562,11662,0.001152337522504364,1.0861415349472796,1.004917878968961,1.0862765316701044,1.1031265291062866
TRA2A:HepG2,1840,0.0017780816869978748,1.0997602233321881,1.0597511419011307,1.119346233181917,0.8503662491583572
U2AF1:K562,2458,0.0038019156791624475,1.0391333091667918,0.9920724330694235,1.0450640799095587,0.7610594483265718
U2AF2:HepG2,21398,0.0019158669662553665,1.0326464326273517,1.0047393575312544,0.9705118631164488,1.2648816119860495
UCHL5:HepG2,4462,0.005417715415351902,1.016578752901228,1.0649590193761822,1.0506852458827143,0.8547113624793232
XPO5:HepG2,9114,0.0034818431507991792,1.3454930065988209,1.3882860481848747,1.309402837599499,1.0021301690682336
YBX3:HepG2,4082,0.005586290157559833,5.103035272631624,5.770056448333816,5.882705146692457,1.1275871532521355
YBX3:K562,35958,0.0026272942612885247,1.247999781579555,1.261907282692479,1.164929498114497,0.861510760235417
YWHAG:K562,1580,0.005053950226180187,1.0096730486293843,1.0633565285955586,1.0626150689882703,1.4128731018018637
