dataset,protein,cell,region_auroc_dn,region_tv_dn,region_auroc_gc,region_tv_gc,region_auroc_neg2,region_tv_neg2,region_auroc_built,region_tv_built,retained_built,comp_built,full_built,gain_built,region_auroc_matched,region_tv_matched,retained,comp_matched,full_matched,gain_matched
FXR2:K562,FXR2,K562,0.5,0.0,0.5,0.0,0.7595012850548107,0.4193548387096774,0.5,0.0,1.0,0.7566371828888998,0.7697594517195558,0.013122268830656036,0.5018975210235802,0.0034157449577098473,0.6630942275042445,0.7537185474757895,0.7615196129871765,0.00780106551138704
G3BP1:HepG2,G3BP1,HepG2,0.5,0.0,0.5,0.0,0.7985821295932055,0.5398271071318308,0.5,0.0,1.0,0.6892135978605146,0.7021239913256172,0.012910393465102588,0.5024506818394816,0.004350922674977312,0.6866316764433467,0.6874332697217101,0.6992662829540002,0.011833013232290024
GARS:K562,GARS,K562,0.5,0.0,0.5,0.0,0.6183871664372811,0.1741472172351885,0.5,0.0,1.0,0.7746584195275409,0.7876995574522401,0.013041137924699187,0.5166548369587909,0.024825685775124215,0.6929982046678635,0.7844599390422112,0.7838670619180829,-0.0005928771241283659
GEMIN5:K562,GEMIN5,K562,0.5,0.0,0.5,0.0,0.7590680306661799,0.3828685258964143,0.5,0.0,1.0,0.8260495865144998,0.8261957746702433,0.00014618815574352073,0.503956673306773,0.007553120849933582,0.547808764940239,0.8412450199203183,0.8425315405046481,0.0012865205843297645
GRSF1:HepG2,GRSF1,HepG2,0.5,0.0,0.5,0.0,0.6831973940052019,0.29246231155778896,0.5,0.0,1.0,0.8453241079770712,0.8450675487992728,-0.0002565591777984322,0.5105294866704092,0.017811126477071997,0.6844221105527638,0.8403160215245161,0.839749154491805,-0.000566867032711138
GRWD1:HepG2,GRWD1,HepG2,0.5,0.0,0.5,0.0,0.8227889365930289,0.5423160565422254,0.5,0.0,1.0,0.7505547862831465,0.7668134685344258,0.016258682251279244,0.5026896142950626,0.005082779792106833,0.6399510692279812,0.7534961949773021,0.7680985129921781,0.014602318014875992
GRWD1:K562,GRWD1,K562,0.5,0.0,0.5,0.0,0.7799799133290373,0.4706151383489596,0.5,0.0,1.0,0.7748123751086969,0.777882793134952,0.003070418026255073,0.5019777304789882,0.0038385195869760557,0.6857992225017151,0.7750520853489067,0.7771961512075851,0.0021440658586784345
GTF2F1:HepG2,GTF2F1,HepG2,0.5,0.0,0.5,0.0,0.7194147684458653,0.3952011291460833,0.5,0.0,1.0,0.8607127518835287,0.8701131165893911,0.009400364705862363,0.5043368553423984,0.007623351788211712,0.70207010115267,0.8616190835327658,0.8688493209431788,0.007230237410412954
HLTF:HepG2,HLTF,HepG2,0.5,0.0,0.5,0.0,0.5733068439141735,0.12795167490389892,0.5,0.0,1.0,0.7825890874087503,0.7912663021959018,0.008677214787151444,0.5065591973766986,0.011658142979877354,0.8395112575507963,0.7797965418058135,0.7867336259610381,0.006937084155224649
HNRNPC:K562,HNRNPC,K562,0.5,0.0,0.5,0.0,0.6646779790877952,0.29457364341085274,0.5,0.0,1.0,0.9530602127276006,0.9601699116639624,0.007109698936361819,0.5045396065402905,0.0061233795843918665,0.7306201550387597,0.9536349423490327,0.9592290404533906,0.0055940981043579585
HNRNPL:K562,HNRNPL,K562,0.5,0.0,0.5,0.0,0.7693679795140747,0.4912611377655929,0.5,0.0,1.0,0.9206405574625788,0.9280803758289756,0.007439818366396844,0.5007023458207792,0.0012831912138279852,0.7161583276216587,0.9182150670310185,0.9239683737578638,0.005753306726845264
HNRNPM:HepG2,HNRNPM,HepG2,0.5,0.0,0.5,0.0,0.7934270349019881,0.5500559910414333,0.5,0.0,1.0,0.9198700801625628,0.9346291709912204,0.014759090828657673,0.5004392162529138,0.0008463465579852374,0.6967151922359089,0.9215408479614797,0.9352278066881848,0.013686958726705112
HNRNPUL1:HepG2,HNRNPUL1,HepG2,0.5,0.0,0.5,0.0,0.7835018122956211,0.4773218142548596,0.5,0.0,1.0,0.7586311453615029,0.755776254962238,-0.0028548903992648977,0.5902963057073082,0.17347788647496434,0.6652267818574514,0.7475401967842572,0.7463402927765779,-0.001199904007679331
IGF2BP1:K562,IGF2BP1,K562,0.5,0.0,0.5,0.0,0.8051504224588675,0.49281458114265686,0.5,0.0,1.0,0.8197623497639752,0.8485544575912676,0.028792107827292357,0.5011347354093676,0.0013112282631574084,0.6425692253767964,0.8212376753914564,0.8413688477671849,0.02013117237572848
KHSRP:HepG2,KHSRP,HepG2,0.5,0.0,0.5,0.0,0.7248038983585859,0.3924242424242424,0.5,0.0,1.0,0.9354428518135905,0.9443531910009183,0.008910339187327754,0.5009561853183955,0.001272272520567184,0.7082386363636364,0.9316874405721608,0.942169650116444,0.01048220954428325
KHSRP:K562,KHSRP,K562,0.5,0.0,0.5,0.0,0.7633501074549855,0.4865505647038538,0.5,0.0,1.0,0.9751740659420021,0.9815374679527276,0.006363402010725494,0.5006263899100839,0.001155347874149794,0.722885593585654,0.9737937828789046,0.9811052932071288,0.007311510328224191
