dataset,protein,cell,arm,pairs,gc_gap_median,gc_gap_p90,gc_gap_max,dinuc_l1_median,dinuc_l1_p90,dinuc_l1_max
GARS:K562,GARS,K562,dn,566,0.01980000000000004,0.05940000000000001,0.17829999999999996,0.22,0.3,0.52
GARS:K562,GARS,K562,neg2,557,0.11880000000000002,0.31689999999999996,0.5743,0.6200000000000001,1.0,1.52
GEMIN5:K562,GEMIN5,K562,gc,2510,0.02970000000000006,0.06930000000000003,0.14850000000000008,0.5,0.74,1.5000000000000002
GEMIN5:K562,GEMIN5,K562,dn,2640,0.02969999999999995,0.07920000000000005,0.2673,0.24,0.38,0.8200000000000001
GEMIN5:K562,GEMIN5,K562,neg2,2510,0.21790000000000004,0.4357,0.6535,0.8200000000000001,1.22,1.6400000000000001
GRSF1:HepG2,GRSF1,HepG2,gc,995,0.02970000000000006,0.04959999999999998,0.14849999999999997,0.5,0.78,1.76
GRSF1:HepG2,GRSF1,HepG2,dn,1008,0.02969999999999995,0.06930000000000003,0.14859999999999995,0.23999999999999996,0.36,1.0
GRSF1:HepG2,GRSF1,HepG2,neg2,995,0.14850000000000008,0.3367,0.604,0.72,1.08,1.6600000000000001
GRWD1:HepG2,GRWD1,HepG2,gc,22072,0.02969999999999995,0.04949999999999999,0.14850000000000008,0.46,0.6599999999999999,1.6600000000000001
GRWD1:HepG2,GRWD1,HepG2,dn,22078,0.01980000000000004,0.04949999999999999,0.12879999999999997,0.18000000000000002,0.24000000000000002,0.8
GRWD1:HepG2,GRWD1,HepG2,neg2,22072,0.12869999999999993,0.27730000000000005,0.5941000000000001,0.64,0.96,1.78
GRWD1:K562,GRWD1,K562,gc,4373,0.02969999999999995,0.04949999999999999,0.14850000000000008,0.48,0.68,1.16
GRWD1:K562,GRWD1,K562,dn,4375,0.01980000000000004,0.04959999999999998,0.12880000000000003,0.2,0.28,0.78
GRWD1:K562,GRWD1,K562,neg2,4373,0.11889999999999995,0.2772,0.5247999999999999,0.64,0.9600000000000001,1.7000000000000002
GTF2F1:HepG2,GTF2F1,HepG2,gc,4251,0.02970000000000006,0.08909999999999996,0.14850000000000008,0.6,0.9000000000000001,1.78
GTF2F1:HepG2,GTF2F1,HepG2,dn,4470,0.039600000000000024,0.11880000000000002,0.3464999999999999,0.3,0.52,1.04
GTF2F1:HepG2,GTF2F1,HepG2,neg2,4251,0.14860000000000007,0.3367,0.5545,0.78,1.14,1.7800000000000002
HLTF:HepG2,HLTF,HepG2,gc,3642,0.029700000000000004,0.04949999999999999,0.13860000000000006,0.46,0.66,1.36
HLTF:HepG2,HLTF,HepG2,dn,3645,0.01980000000000004,0.04959999999999998,0.10899999999999999,0.2,0.26,0.48000000000000004
HLTF:HepG2,HLTF,HepG2,neg2,3642,0.1189,0.2971,0.5842,0.6200000000000001,0.96,1.6799999999999997
HNRNPC:K562,HNRNPC,K562,gc,516,0.029700000000000004,0.04949999999999999,0.04960000000000003,0.5599999999999999,0.78,1.1400000000000001
HNRNPC:K562,HNRNPC,K562,dn,516,0.02969999999999995,0.06929999999999997,0.11880000000000002,0.22000000000000003,0.30000000000000004,0.44000000000000006
HNRNPC:K562,HNRNPC,K562,neg2,516,0.11880000000000002,0.24760000000000004,0.47529999999999994,0.6799999999999999,1.0,1.4
HNRNPL:K562,HNRNPL,K562,gc,5836,0.029700000000000004,0.04949999999999999,0.14849999999999997,0.62,0.9800000000000001,1.74
HNRNPL:K562,HNRNPL,K562,dn,5840,0.029700000000000004,0.07038000000000358,0.22780000000000006,0.26,0.6000000000000001,0.98
HNRNPL:K562,HNRNPL,K562,neg2,5836,0.12869999999999993,0.2872,0.5842,0.78,1.1600000000000001,1.8599999999999999
HNRNPM:HepG2,HNRNPM,HepG2,gc,13395,0.029700000000000004,0.04949999999999999,0.14850000000000008,0.52,0.74,1.7000000000000002
HNRNPM:HepG2,HNRNPM,HepG2,dn,13423,0.01980000000000004,0.04960000000000003,0.21789999999999998,0.21999999999999997,0.3,0.72
HNRNPM:HepG2,HNRNPM,HepG2,neg2,13395,0.11880000000000002,0.27726,0.5347,0.66,0.98,1.7200000000000002
HNRNPUL1:HepG2,HNRNPUL1,HepG2,gc,463,0.029700000000000004,0.04960000000000003,0.14850000000000008,0.5,0.78,1.3399999999999999
HNRNPUL1:HepG2,HNRNPUL1,HepG2,dn,467,0.02969999999999995,0.05949999999999994,0.1387,0.22000000000000003,0.30000000000000004,0.5599999999999999
HNRNPUL1:HepG2,HNRNPUL1,HepG2,neg2,463,0.1189,0.2852200000000001,0.46540000000000004,0.6599999999999999,0.9600000000000001,1.28
IGF2BP1:K562,IGF2BP1,K562,gc,5706,0.029700000000000004,0.04949999999999999,0.12869999999999998,0.46,0.7,1.6
IGF2BP1:K562,IGF2BP1,K562,dn,5706,0.019799999999999984,0.049500000000000044,0.2178,0.19999999999999998,0.28,1.08
IGF2BP1:K562,IGF2BP1,K562,neg2,5706,0.12869999999999998,0.2971,0.5743,0.64,1.0,1.7000000000000002
KHSRP:HepG2,KHSRP,HepG2,gc,5280,0.029700000000000004,0.04949999999999999,0.14849999999999997,0.48,0.72,1.5599999999999998
KHSRP:HepG2,KHSRP,HepG2,dn,5289,0.019799999999999984,0.04949999999999999,0.1981,0.2,0.27999999999999997,0.92
KHSRP:HepG2,KHSRP,HepG2,neg2,5280,0.18819999999999998,0.3763,0.6336999999999999,0.76,1.12,1.7399999999999998
KHSRP:K562,KHSRP,K562,gc,23198,0.029700000000000004,0.04949999999999999,0.14850000000000002,0.48,0.7,1.7200000000000002
KHSRP:K562,KHSRP,K562,dn,23192,0.019799999999999984,0.04949999999999999,0.1684,0.18,0.24000000000000002,0.8600000000000001
KHSRP:K562,KHSRP,K562,neg2,23198,0.2178,0.39609999999999995,0.6634,0.8,1.1400000000000001,1.8800000000000001
LARP4:HepG2,LARP4,HepG2,gc,5421,0.02969999999999995,0.04949999999999999,0.14849999999999997,0.48,0.68,1.44
LARP4:HepG2,LARP4,HepG2,dn,5429,0.01980000000000004,0.0593999999999999,0.1684,0.20000000000000004,0.28,0.9400000000000001
