dataset,protein,cell,n,coverage,comp_kmer,full_kmer,gain_kmer,published_neg2_kmer,published_gc_kmer,published_dn_kmer,comp_cnn,full_cnn,gain_cnn,published_neg2_cnn,published_gc_cnn,published_dn_cnn,comp_splicebert,full_splicebert,gain_splicebert,published_neg2_splicebert,published_gc_splicebert,published_dn_splicebert
DHX30:K562,DHX30,K562,1590,1.0,0.791088960088604,0.7901570349274158,-0.0009319251611881185,0.0036296032593647,0.010985324947589,0.0016893086059006,0.791088960088604,0.790721886001345,-0.0003670740872590006,0.00104109805783,-0.0012768482259405,0.0126072202846639,0.791088960088604,0.7957232704402515,0.004634310351647519,0.0391962343261739,0.0252442545785372,0.0873256197568103
DROSHA:HepG2,DROSHA,HepG2,4304,1.0,0.6476939407968381,0.6593471016846092,0.01165316088777113,0.0179063134837828,0.0173686447119305,0.0442684223590814,0.6476939407968381,0.6482586009728999,0.0005646601760618264,0.0105052704495515,0.0297533806193945,0.0477414831810434,0.6476939407968381,0.7102202844073464,0.06252634361050835,0.0803629113058139,0.0749186371111511,0.1345877108239744
DROSHA:K562,DROSHA,K562,7572,1.0,0.8297339378905629,0.8400081178774974,0.010274179986934473,0.0158232334267907,0.0097279185499778,0.0241374403849583,0.8297339378905629,0.8292689528998459,-0.00046498499071701005,0.000787439698458,0.018536541192577,0.0567405818407183,0.8297339378905629,0.844911354954403,0.015177417063840015,0.0275693193903414,0.0644552217709808,0.1191131613735222
EFTUD2:HepG2,EFTUD2,HepG2,14248,1.0,0.7882640856870561,0.7912623098140236,0.002998224126967486,0.0040935441829204,0.0203651424150549,0.0369083057724314,0.7882640856870561,0.8008385230776798,0.012574437390623694,0.0105571521844058,0.0343130006957841,0.0719922534781625,0.7882640856870561,0.8329211606006505,0.044657074913594386,0.0522323375035193,0.1071977240577675,0.1696068595353226
EIF3H:HepG2,EIF3H,HepG2,5654,1.0,0.7105718782036228,0.7121895101920951,0.0016176319884723123,0.0064368689962084,0.0395363872727099,0.0846127240336429,0.7105718782036228,0.7118243918333109,0.0012525136296881456,0.002634908293104,0.0510359889333351,0.1121575906109355,0.7105718782036228,0.7158668451634143,0.005294966959791481,0.0545236325297683,0.1801737728150488,0.2620558976906381
ELAC2:K562,ELAC2,K562,26288,1.0,0.9440410397177351,0.9489793333750703,0.004938293657335224,0.010377088759595,0.0053134338711342,0.0201447139770831,0.9440410397177351,0.9499166600758155,0.0058756203580804245,0.0103258398751004,0.0064248586007736,0.0318139950673578,0.9440410397177351,0.9562812343833873,0.012240194665652182,0.0219703226936311,0.0141086083678556,0.0611715218467184
ELAVL1:K562,ELAVL1,K562,17642,1.0,0.9468992054637267,0.9601206867375895,0.0132214812738628,0.0126460285504798,0.0064049959824592,0.0505506511537752,0.9468992054637267,0.963807897235268,0.016908691771541307,0.0132334591624235,0.0139507444803942,0.136940782255639,0.9468992054637267,0.9729224278393582,0.026023222375631483,0.0245677675455794,0.0223217078114635,0.1691210507759369
EXOSC5:HepG2,EXOSC5,HepG2,1426,1.0,0.826608231422451,0.8276783202752331,0.0010700888527821473,-0.0011940145838946,-0.0004720980232862,0.0005032836419572,0.826608231422451,0.8266869144263321,7.868300388114147e-05,0.0032732129614513,0.0,-0.0063496988812344,0.826608231422451,0.837435012756482,0.010826781334031033,0.0248461255505352,0.0026103086537534,0.041640099218775
FASTKD2:HepG2,FASTKD2,HepG2,1646,1.0,0.7203943726017932,0.7204253767371543,3.100413536116786e-05,-6.20082707222247e-05,0.0015664470294346,0.0090228078744504,0.7203943726017932,0.7183067608208122,-0.002087611780980936,-0.0023120226654993,0.0031018899235083,0.014334557964705,0.7203943726017932,0.7181251651708401,-0.0022692074309530463,-0.0037337837299156,0.054348772900614,0.1386523391874958
FASTKD2:K562,FASTKD2,K562,1016,1.0,0.9045236840473679,0.9062248124496249,0.0017011284022570017,0.0012322524645048,-0.0003681257362515,0.0012765349055703,0.9045236840473679,0.9037060574121147,-0.0008176266352531991,-0.0011625023250045,-0.000771126542253,0.0584346618373931,0.9045236840473679,0.904023808047616,-0.0004998759997519864,0.0013407526815053,0.0054831359662718,0.0606132814095669
