dataset,protein,cell,pairs,auroc_gc,auroc_dn,cost,composition_auroc_gc,composition_auroc_dn,delta_auroc_gc,delta_auroc_dn,delta_p_gc,delta_p_dn,helps_gc,helps_dn,contrast,total_gain,dominant,dominant_frac,frac_exon_nc,frac_intron,frac_utr5,frac_utr3,frac_cds
DDX59:HepG2,DDX59,HepG2,3052,0.8656496223605172,0.7366844684629017,-0.1289651538976155,0.8695836174719026,0.7296360973854217,0.0036719363277673,0.0190220606521474,0.0003015474697665,2.8278530301483915e-10,True,True,0.015350124324380099,0.0226939969799147,intron,0.653997378768021,0.07568807339449542,0.653997378768021,0.08322411533420708,0.08977719528178243,0.0973132372214941
DDX6:HepG2,DDX6,HepG2,490,0.7492919616826321,0.6728560907471333,-0.0764358709354988,0.7645439400249896,0.6203152450740386,0.0131611828404831,0.0544293537517126,0.0147400535489446,7.115104389028379e-05,True,True,0.0412681709112295,0.0675905365921957,utr3,0.45510204081632655,0.06326530612244897,0.38571428571428573,0.02857142857142857,0.45510204081632655,0.0673469387755102
DDX6:K562,DDX6,K562,1939,0.7948180197413586,0.6491608505962153,-0.1456571691451432,0.794392722225931,0.5995970722326516,0.0110415107929551,0.0497019250266546,1.1677588650727346e-05,5.876808918087815e-12,True,True,0.0386604142336995,0.060743435819609705,utr3,0.6436307374935534,0.039195461578133056,0.1665807117070655,0.07168643630737494,0.6436307374935534,0.07890665291387312
DGCR8:K562,DGCR8,K562,1236,0.6417880258899676,0.5450885950335317,-0.0966994308564359,0.6942212324965176,0.5642400776046508,-0.0005937045066557,-0.0013560431819181,0.577870275365231,0.7435340640967957,False,False,-0.0007623386752624,-0.0019497476885738001,exon_nc,0.4166666666666667,0.4166666666666667,0.40372168284789645,0.061488673139158574,0.05177993527508091,0.06634304207119741
DHX30:K562,DHX30,K562,795,0.7293224160436692,0.5871665566971439,-0.1421558593465253,0.746954629959258,0.6249985271938919,0.0109615917091886,0.004247572815534,0.0283895071561393,0.2951194349487029,True,False,-0.0067140188936545995,0.0152091645247226,intron,0.6289308176100629,0.09056603773584905,0.6289308176100629,0.10817610062893082,0.06666666666666667,0.10566037735849057
DROSHA:HepG2,DROSHA,HepG2,2152,0.7408864063514877,0.653149696762334,-0.0877367095891537,0.7368063856911872,0.6146915126997545,0.017364973880958,0.0455525282104951,1.2264197140098984e-07,6.863672138065868e-12,True,True,0.028187554329537103,0.06291750209145311,intron,0.7142193308550185,0.17007434944237917,0.7142193308550185,0.05065055762081784,0.04553903345724907,0.019516728624535316
DROSHA:K562,DROSHA,K562,3786,0.8100498988544278,0.6803537496187338,-0.1296961492356939,0.8074519827127442,0.6667756883584602,0.0097482899854302,0.0217065385286637,1.1146843064320136e-09,3.2012460930359076e-11,True,True,0.011958248543233501,0.0314548285140939,intron,0.5615425250924458,0.15478077126254622,0.5615425250924458,0.16561014263074486,0.04463814051769678,0.0734284204965663
EFTUD2:HepG2,EFTUD2,HepG2,7124,0.8066017165721772,0.7154900845737441,-0.091111631998433,0.7878537913927692,0.6804083322913396,0.0203756642972599,0.0379816624071349,1.253066285080262e-34,3.515384390099158e-38,True,True,0.017605998109875003,0.0583573267043948,intron,0.5334081976417743,0.2696518809657496,0.5334081976417743,0.07973048848961257,0.05446378439079169,0.06274564851207187
EIF3H:HepG2,EIF3H,HepG2,2827,0.6808324998883248,0.6283385601200165,-0.0524939397683082,0.6428035083895264,0.5360915106610489,0.0395669180744725,0.0885841841823869,1.7211175303316853e-15,9.309997224862808e-25,True,True,0.049017266107914396,0.12815110225685938,cds,0.6002829854969933,0.01874778917580474,0.007782101167315175,0.08206579412805094,0.2911213300318359,0.6002829854969933
ELAC2:K562,ELAC2,K562,13144,0.9588729264749956,0.8714384786677357,-0.0874344478072598,0.9531685216131144,0.850231519139482,0.0053072636304665,0.0203047982363016,1.485883421092219e-40,1.125815035138879e-81,True,True,0.014997534605835099,0.0256120618667681,intron,0.8269933049300061,0.06588557516737675,0.8269933049300061,0.027845404747413267,0.07220024345709068,0.007075471698113208
ELAVL1:K562,ELAVL1,K562,8821,0.9475586576287756,0.7419502626814487,-0.2056083949473268,0.9415679526502242,0.6968694537497894,0.0063872990376653,0.0488000124210727,5.554737629970328e-33,8.171422886103862e-70,True,True,0.0424127133834074,0.055187311458738,intron,0.5554925745380342,0.05022106337149983,0.5554925745380342,0.013150436458451422,0.37750821902278653,0.003627706609227979
