dataset,gain_gc_k3,gain_dn_k3,contrast_k3,gain_gc_k4,gain_dn_k4,contrast_k4,gain_gc_k5,gain_dn_k5,contrast_k5,gain_gc_k6,gain_dn_k6,contrast_k6
EIF3H:HepG2,0.025242841872093913,0.05883077579878071,0.0335879339266868,0.039536387272709916,0.08862682638290398,0.04909043911019406,0.03146962391682917,0.07512658000574546,0.04365695608891629,0.02070964344152726,0.05728780143796486,0.0365781579964376
ELAC2:K562,0.0024561088670316256,0.010449940039470085,0.00799383117243846,0.005313433871134254,0.02029907272138376,0.014985638850249505,0.006171554593178086,0.022579794118277596,0.01640823952509951,0.004472961426572386,0.01590160747578384,0.011428646049211455
ELAVL1:K562,0.003947703870249786,0.024369727266148056,0.02042202339589827,0.0064049959824592495,0.04875765026932011,0.04235265428686086,0.007099058076579068,0.057335992447079764,0.0502369343705007,0.00521701305876443,0.0515511665930497,0.04633415353428527
EXOSC5:HepG2,-0.0010346815010355837,0.005836955020443568,0.006871636521479152,-0.0004720980232862937,0.0026148044856574293,0.003086902508943723,-5.1143952522703096e-05,0.0015476918012068408,0.001598835753729544,-0.0003363698415914662,0.011800676973259816,0.012137046814851282
FASTKD2:HepG2,0.004257901256257912,0.021866837265603345,0.017608936009345433,0.0015664470294346478,0.005480313873728382,0.003913866844293734,0.0017081802196567963,0.00010220008919270551,-0.0016059801304640908,0.004232802670489533,0.015055267684597307,0.010822465014107774
FASTKD2:K562,-0.00041462582925178015,-0.0012595144401628122,-0.0008448886109110321,-0.00036812573625155665,0.00039147070437495213,0.0007595964406265088,0.0006355012710025365,0.0032406966136081516,0.002605195342605615,0.0026737553475106868,0.005082310970711101,0.0024085556232004146
FKBP4:HepG2,-0.00016516596515525617,0.005396108822789292,0.005561274787944548,0.0013495657733497701,0.00673804086436125,0.00538847509101148,0.0029255687569929023,0.0054774667047597925,0.00255189794776689,0.006349832170067682,0.004560298488824666,-0.0017895336812430163
FMR1:K562,0.040599921884163614,0.059944098663707424,0.01934417677954381,0.06827122486282877,0.10246479594999991,0.03419357108717114,0.06190649477381416,0.11023647353417132,0.04832997876035716,0.04954139528405155,0.06068572137144268,0.011144326087391132
FXR1:K562,0.01982834953719359,0.050063404124345956,0.030235054587152366,0.03178975657911953,0.06660806401969843,0.0348183074405789,0.018220391924852586,0.05516922129886115,0.03694882937400856,0.022433379145639032,0.04171622037550027,0.019282841229861236
FXR2:K562,0.021523316907883894,0.05384937391808353,0.03232605701019964,0.049198340544389096,0.08817471888216866,0.03897637833777956,0.051305403463612786,0.09623618006198076,0.04493077659836797,0.034841595781172185,0.06668018356630734,0.03183858778513515
