dataset,design,n_pairs_gc,n_sense_gc,full_gc,sense_gc,placebo_gc,placebo_sd_gc,placebo_strat_gc,placebo_strat_sd_gc,strat_deficit_gc,n_pairs_dn,n_sense_dn,full_dn,sense_dn,placebo_dn,placebo_sd_dn,placebo_strat_dn,placebo_strat_sd_dn,strat_deficit_dn,c_full,c_sense,c_placebo,c_placebo_strat,excess,excess_strat,locus_mix,corrected
KHSRP:HepG2,region_x_genedensity_q4,5280,2311,0.0286301939853076,0.0293943458195999,0.0217976655211908,0.0027104071213842,0.02297187027744,0.0023672998669616,0.0,5289,2850,0.0912763180580663,0.0755197291474299,0.0820710618651892,0.0070096127673133,0.082433973530317,0.0050916477926766,0.0,0.0626461240727587,0.04612538332783,0.0602733963439984,0.0594621032528769,-0.0141480130161684,-0.0133367199250469,-0.0008112930911214,0.0493094041477118
LARP4:HepG2,region_x_genedensity_q4,5421,2341,0.0330452593355056,0.0230898744060752,0.0232765071718038,0.0049362216437666,0.0222448356206552,0.0041901850322419,0.0,5429,2475,0.0646498388191832,0.0451424956637077,0.0532778614427099,0.0072727763595795,0.0584106519742883,0.0101240019821456,0.0,0.0316045794836776,0.0220526212576325,0.0300013542709061,0.0361658163536331,-0.0079487330132736,-0.0141131950960006,0.0061644620827269,0.017491384387677
MATR3:HepG2,region_x_genedensity_q4,6984,3199,0.0097963238506868,0.0068884843174946,0.0070204075769614,0.0009141009603956,0.0067657611431205,0.0008621965117621,0.0,6991,3864,0.0523627237103444,0.0503401896360307,0.0462568423714791,0.003553675317024,0.0463085151357329,0.003194829926304,0.0,0.0425663998596576,0.043451705318536,0.0392364347945176,0.0395427539926124,0.0042152705240183,0.0039089513259236,0.0003063191980947,0.0464753511855812
NCBP2:HepG2,region_x_genedensity_q4,3186,1329,0.0201699486414392,0.0115652393982473,0.0107512225115372,0.0036171007938631,0.0102119699406819,0.0030446616666312,0.0,3226,1404,0.0648078288272325,0.0251210420369963,0.0470403294210274,0.0080615528168479,0.0476654004431782,0.008076604344382,0.0,0.0446378801857932,0.013555802638749,0.0362891069094901,0.0374534305024963,-0.0227333042707411,-0.0238976278637473,0.0011643235930061,0.020740252322045898
NKRF:HepG2,region_x_genedensity_q4,3537,1553,0.0023717126169499,-0.0001513386839506,0.0010711254498179,0.0006048870250121,0.0011318889679904,0.0008416332666474,0.0,3794,1904,0.0099787862476862,0.0020073286667607,0.0069422621989972,0.0019918918939976,0.0057222107593037,0.0018758583248016,0.0,0.0076070736307363,0.0021586673507114,0.0058711367491793,0.0045903217913133,-0.0037124693984678,-0.0024316544406018,-0.0012808149578659,0.0051754191901345
PCBP2:HepG2,region_x_genedensity_q4,8589,3783,0.0079321634062289,0.0082243217130436,0.0063755979716148,0.0007355525749192,0.0062526478592928,0.0006774461440952,0.0,8526,4034,0.0306083655525352,0.027643930900681,0.0260298401858865,0.0019601199010478,0.0272130280075973,0.0022175562556236,0.0,0.0226762021463062,0.0194196091876374,0.0196542422142716,0.0209603801483044,-0.0002346330266342,-0.001540770960667,0.0013061379340328,0.021135431185639198
PTBP1:HepG2,region_x_genedensity_q4,8349,3692,0.0040398789765,0.0041911503188647,0.0028804630432817,0.0006237040518489,0.0031214198894508,0.000553637998768,0.0,7988,3940,0.0425229262270971,0.0354016465252906,0.0386209030121878,0.0025376777450616,0.0379231299440851,0.0016201784149988,0.0,0.0384830472505971,0.0312104962064259,0.0357404399689061,0.0348017100546343,-0.0045299437624801,-0.0035912138482083,-0.0009387299142718,0.0348918334023888
RBM15:HepG2,region_x_genedensity_q4,1493,576,0.0307916066448069,-0.0007716049382716,0.012220745322145,0.0058230334297467,0.0116028585551697,0.0061712232342078,0.0,1500,710,0.0428488888888888,0.0099603253322754,0.0247489585399722,0.0109635387630438,0.0368852410236064,0.0130456090113571,0.0,0.0120572822440818,0.010731930270547,0.0125282132178271,0.0252823824684366,-0.00179628294728,-0.0145504521978896,0.0127541692506095,-0.0024931699538078
AATF:K562,region_x_genedensity_q4,1043,442,0.0164462163406869,0.0208124321778833,0.0104888822915173,0.0043922375329697,0.0055263508118179,0.0032517449457923,0.0,1081,546,0.0473171704344062,0.0320378644554468,0.0288329039702666,0.0121998482274186,0.0311429108132404,0.013256158656062,0.0,0.0308709540937192,0.0112254322775635,0.0183440216787492,0.0256165600014224,-0.0071185894011856,-0.0143911277238588,0.0072725383226732,0.016479826369860402
DDX24:K562,region_x_genedensity_q4,9590,4027,0.0946443821281509,0.0601911766546756,0.0827191044507187,0.0044292416080542,0.0815232128501376,0.0052452404307493,0.0,9600,4314,0.1487579644097221,0.1288477811242584,0.13815810358787,0.0044360959329626,0.1394750442167461,0.0053846716423619,0.0,0.0541135822815711,0.0686566044695827,0.0554389991371512,0.0579518313666085,0.0132176053324315,0.0107047731029742,0.0025128322294572,0.0648183553845453
DDX55:K562,region_x_genedensity_q4,1100,452,0.0106603305785123,0.0021193907118802,0.0024593253191322,0.00349723015122,0.0020136659096248,0.0034926293885714,0.0,1101,530,0.0211318089986726,-0.0013705945176218,0.0173357066571733,0.013910213685863,0.0068602705589177,0.0075077532593114,0.0,0.0104714784201602,-0.0034899852295021,0.0148763813380411,0.0048466046492929,-0.0183663665675433,-0.008336589878795,-0.0100297766887482,0.002134888541365199
DGCR8:K562,region_x_genedensity_q4,1236,501,-0.0006035232140425,-0.0010478045904199,0.0009541794654204,0.0033474330834043,-0.0004157353954764,0.0021741509112321,0.0,1253,561,-0.0013343872551049,-0.0023481115019333,-0.0006106996355502,0.0058260096312499,-0.0013812233692699,0.0028738032890963,0.0,-0.0007308640410623,-0.0013003069115133,-0.0015648791009707,-0.0009654879737934,0.0002645721894573,-0.0003348189377199,0.0005993911271772,-0.0010656829787822
ELAC2:K562,region_x_genedensity_q4,13144,5863,0.0053134338711342,0.004847945305465,0.0040729757340333,0.0003213686864728,0.0040935809634094,0.0006362110055769,0.0,12915,7068,0.0202990727213837,0.0171574844609194,0.0181458638998504,0.0013215307331923,0.0170568982003267,0.0011718207945973,0.0,0.0149856388502495,0.0123095391554544,0.014072888165817,0.0129633172369172,-0.0017633490103626,-0.0006537780814628,-0.0011095709288997,0.0143318607687867
