dataset,protein,cell,gain2_gc,comp2_gc,gain3_gc,comp3_gc,published_gc,gain2_dn,comp2_dn,gain3_dn,comp3_dn,published_dn,gain2_neg2,comp2_neg2,gain3_neg2,comp3_neg2,published_neg2
SMNDC1:K562,SMNDC1,K562,0.024328082948866014,0.7245844279977786,0.004171238893160623,0.7383673547033193,0.024328082948866,0.07849528284420004,0.5879448177116549,0.019817732226834917,0.6266892684191253,0.0784952828442,0.02541156713229964,0.7360964265880644,-0.00043152473407659375,0.7646948689606561,0.0254115671322996
EIF3H:HepG2,EIF3H,HepG2,0.039536387272709916,0.6428035083895264,0.002209979593162048,0.6775120249441655,0.0395363872727099,0.08461272403364295,0.5376200215854321,0.009563822656324827,0.6005998086836477,0.0846127240336429,0.0064368689962084336,0.709288833772172,-0.0006871932921326263,0.7179897368958108,0.0064368689962084
NCBP2:HepG2,NCBP2,HepG2,0.020169948641439284,0.7769400929758212,0.003047801331074518,0.7902904420587717,0.0201699486414392,0.06416893659660039,0.5982998490642327,0.016317839900467757,0.6329515610340503,0.0641689365966003,0.0011730345686105093,0.9167486322970593,-0.0002619550615547972,0.9177298554685852,0.0011730345686105
NKRF:HepG2,NKRF,HepG2,0.002371712616949906,0.875137815679138,-0.0005235656917874643,0.8782149431403662,0.0023717126169499,0.010354493804411669,0.7872754822499956,-0.0005642152477344231,0.7973563180980612,0.0103544938044116,0.003014379511907306,0.8907523830831848,-0.0006171680467619289,0.8950000595506017,0.0030143795119073
SAFB2:K562,SAFB2,K562,0.007262189303455346,0.7989757258336985,-0.0003014795182263441,0.8058685206872306,0.0072621893034553,0.04066256723007533,0.5432451894541237,-0.0017229133565271892,0.5962223317992549,0.0406625672300753,0.010067603892723986,0.8975169387829645,0.0008532883382643686,0.9061624667844619,0.0100676038927239
SND1:K562,SND1,K562,0.08157279458752786,0.6635916843037127,0.01973658753935359,0.7202526836646752,0.0815727945875278,0.1417393488265739,0.5599790059685743,0.02715032438718812,0.6720260681161552,0.1417393488265739,0.02930110395206631,0.7292131630014833,0.0008258241532752564,0.7546978642074469,0.0293011039520663
FMR1:K562,FMR1,K562,0.06827122486282877,0.6427784801053058,0.014313566252655341,0.6896488473230461,0.0682712248628287,0.10551727715700332,0.5555778980945717,0.025500322021052235,0.6233277364513912,0.1055172771570033,0.012127045755190191,0.8262329411793455,-7.855365963316263e-05,0.8383902782031565,0.0121270457551901
MATR3:K562,MATR3,K562,0.004963333256686964,0.9562815404664777,-9.933006730444838e-05,0.9619627130989222,0.0049633332566869,0.059287949111456295,0.6846286482400203,0.004318445754670219,0.73912334799735,0.0592879491114562,0.005868166767659444,0.9470023369194728,-0.0001906714611107363,0.9539345189144737,0.0058681667676594
RPS3:HepG2,RPS3,HepG2,0.07458635150877868,0.6400096347883973,0.013032333897035064,0.6987105332816493,0.0745863515087786,0.12232275649327584,0.5569521460118468,0.020250358573482896,0.6547061371761765,0.1223227564932758,0.013354737423636243,0.8157901148965137,-0.0003206160544662051,0.830590039220588,0.0133547374236362
HNRNPL:K562,HNRNPL,K562,0.01996101106741688,0.8732692333891269,0.0028152703481639785,0.8893142044298794,0.0199610110674168,0.04828037037905819,0.7269614080972039,0.0032208786826797287,0.7705261892475136,0.0482803703790581,0.0206711339087442,0.900535354992129,0.00160005186310197,0.9195827721485746,0.0206711339087442
LIN28B:K562,LIN28B,K562,0.03335182480604226,0.7304572995419546,0.008622703207723403,0.7526155809731653,0.0333518248060422,0.09797989824853537,0.5732835168849293,0.02355559534374485,0.6435139546155954,0.0979798982485353,0.013226950289368489,0.7786827035556146,0.000862054979509641,0.7939352833857568,0.0132269502893684
PTBP1:K562,PTBP1,K562,0.0027122791429428084,0.9610079657658928,-9.7927234372297e-05,0.9642866553724472,0.0027122791429428,0.03805938892340088,0.8022715454649911,0.009434654670961162,0.8286788005581609,0.0380593889234008,0.004464689889528639,0.955313303212665,0.0001335506377437845,0.9593779186873956,0.0044646898895286
BUD13:K562,BUD13,K562,0.06975012235774869,0.6641432165710477,0.026566313358452387,0.7018539546994561,0.0697501223577486,0.11199585048996152,0.5693739729962654,0.03396898720035757,0.6410941300392607,0.1119958504899615,0.007137789068245914,0.7059327871495362,0.0012319634563696669,0.7134906874967617,0.0071377890682459
DDX24:K562,DDX24,K562,0.09464438212815096,0.645736282471857,0.03464867709564501,0.7018523705502234,0.0946443821281509,0.15116934678819438,0.5576034830729166,0.048535134548611136,0.6555592447916666,0.1511693467881943,0.03597921453199526,0.7096662755890357,0.01093072489265312,0.7324574281734645,0.0359792145319952
AQR:HepG2,AQR,HepG2,0.10411836383167761,0.6394277921976217,0.039177962657531484,0.701226017847285,0.1041183638316776,0.1347963926118254,0.5967507659436684,0.045379244719309986,0.6813300315013663,0.1347963926118254,0.03574946655954625,0.6624674684898553,0.009981644723864869,0.6908394855753881,0.0357494665595462
HNRNPM:HepG2,HNRNPM,HepG2,0.01274657341375085,0.9338788729226989,0.0033134100808397404,0.9427948426099281,0.0127465734137508,0.0679745795867126,0.7025364218523228,0.021230792539482124,0.7469982186232067,0.0679745795867126,0.014066281633336009,0.9224347025466345,0.0017049366166362878,0.9356020120269621,0.014066281633336
