dataset,protein,cell,comp_gc,n_gc,k4_pub_gc,k4_cf_gc,k2_pub_gc,k2_cf_gc,comp_dn,n_dn,k4_pub_dn,k4_cf_dn,k2_pub_dn,k2_cf_dn,comp_neg2,n_neg2,k4_pub_neg2,k4_cf_neg2,k2_pub_neg2,k2_cf_neg2
MBNL1:K562,MBNL1,K562,0.7743344023299075,2388,0.033819291880957,0.03558692401145869,0.01007129449593025,-8.206863463056102e-05,0.6314247468860829,2404,0.07129963649048587,0.07301682442739621,0.016410530424888048,0.0003654474932239804,0.7918108128582612,2388,0.032816230791029466,0.03699331386132221,0.004995665092632273,-0.0011349320583936562
METTL1:K562,METTL1,K562,0.7281304973612667,962,0.011557695549379465,0.009824473441936932,0.043901089639135304,-0.001919078842155919,0.6150950246584341,962,0.0759246372551986,0.04965400391595831,0.028587359148689817,-0.005679436032866247,0.7762155246562731,962,0.012806825696638602,0.015996645934275855,0.026784981046935386,-0.00783191635582492
MORC2:K562,MORC2,K562,0.7912565385506896,1646,0.004296287328609982,0.005325329345118868,0.022433706514854768,0.0011264835847867305,0.6456912308015936,1782,0.0010480160124755056,0.0014019733436120285,0.02306894862076314,0.0014523587288272077,0.8197050473255981,1646,0.004814499305359599,0.0071176636464701515,0.016807194140513793,0.0013922333164532175
MTPAP:K562,MTPAP,K562,0.7266875817399169,2154,0.0179140274965105,0.02139441293389499,0.01684844503413563,-0.002354454453677879,0.5741753908511377,2166,0.053391241626445596,0.053143988902615735,0.018054564413171215,0.001547461012934792,0.7427678763096707,2154,-0.0006681443433175227,0.002020813342885619,0.023745418900639526,-0.003805405330843503
NCBP2:HepG2,NCBP2,HepG2,0.7769400929758213,6372,0.020169948641439395,0.021995457212561687,0.005920539050120799,-5.3198846649005205e-06,0.5982998490642328,6452,0.06416893659660017,0.06619621111635965,0.009410616392154791,0.0004036676584278087,0.9167486322970593,6372,0.0011730345686105093,0.001541781388994079,0.0016412829355042513,1.4974490167851684e-05
NKRF:HepG2,NKRF,HepG2,0.8751378156791378,7074,0.002371712616949906,0.003465845012245561,0.0014957992046438218,-1.2709457251069978e-05,0.7872754822499956,7584,0.010354493804411669,0.011606783212270155,0.002211865642080202,2.78178354573555e-07,0.8907523830831849,7074,0.0030143795119070838,0.0035500951250918567,0.0019297592261269259,0.0002649801936296381
NOLC1:K562,NOLC1,K562,0.7953063524210453,3134,0.006180439008278915,0.007995556078646548,0.013006777876015674,0.00023131848686752665,0.5837620187431539,3140,0.02998012089739943,0.02988072538439701,0.015360866566595077,0.0007026654225322781,0.7174835643735321,3134,0.008566929031243897,0.013382670417175557,0.029717095047055775,-0.0004341294137338858
NONO:K562,NONO,K562,0.8139088590405691,22328,0.027690286675410847,0.02853808294588711,0.0014927039374269535,-5.3893413607064566e-05,0.6624164763118137,22686,0.05661003754059535,0.05866346134796774,0.0046860554996384085,-0.00014111989004761405,0.8622011446938584,22328,0.02411061505599532,0.025129462939496472,0.0026871206279179827,0.00010394360179832862
PCBP1:HepG2,PCBP1,HepG2,0.8440294261802163,1858,0.002552601788327502,0.00455482416246733,0.014001652296936062,0.0007508333903023523,0.6377161611588955,1880,0.006045722046174595,0.0077150294250791784,0.02327750113173377,-0.0002512449071978562,0.9031610317470434,1858,0.00015178884896538403,0.0012027238566879594,0.006436542412237456,0.0003684645341297532
PCBP2:HepG2,PCBP2,HepG2,0.9500497899436555,17178,0.00793216340622871,0.00840550709675969,0.0003676651942572384,-4.324197064198287e-06,0.8188068256959599,17040,0.031660977209107544,0.032885505521391245,0.0012540776741826187,-0.00011443661971832775,0.9389332552863207,17178,0.013597308890857085,0.014097451758803503,0.0003260227698662632,9.190613195708686e-06
PHF6:K562,PHF6,K562,0.7941817513392389,1352,0.00810108189489156,0.010317828507405147,0.0202745877245194,0.0007046321907495656,0.6122395321153149,1390,0.021230785156047816,0.025859945137415297,0.03248279074582061,-0.004525645670513945,0.7641604810755925,1352,0.006890952697734654,0.00982327299464314,0.0280255418227654,0.0010285004026471256
PPIL4:K562,PPIL4,K562,0.697362829242154,1316,-0.003060300625456036,0.0002679206585305405,0.06922053565654429,0.0018315610535749594,0.5255583366529966,1318,0.031461196782728185,0.014340945148417772,0.06328391064771433,-0.009272798027083806,0.7912874973438901,1316,-0.005748745854158965,0.004392974935560234,0.047948559233562005,0.001552092090797208
PRPF4:HepG2,PRPF4,HepG2,0.8850121240177373,17734,0.005732051061608123,0.006202380048588085,0.0009157036627980286,1.807343331350353e-05,0.762673991614172,18310,0.016162808074185686,0.01766543248579211,0.0026632416233439704,8.526019362498083e-05,0.9281680486907705,17734,0.002768325968525942,0.003011128109239647,0.00027345448011217854,1.1548682229967078e-05
PTBP1:HepG2,PTBP1,HepG2,0.9664757313383429,16698,0.004039878976500266,0.004532549593684654,0.0005691491874544319,-6.993679048294954e-05,0.8170257464223671,16002,0.04380254867841549,0.045299580647032434,0.002035756654027887,0.0003088134168205414,0.9537627865434041,16698,0.004050968440919234,0.0046634569194606845,0.0012403128399599561,8.063891267795498e-05
PTBP1:K562,PTBP1,K562,0.9610079657658929,15570,0.0027122791429428084,0.0031982193248299984,0.0006984431054731788,-5.9762837893329035e-05,0.8022715454649911,15246,0.038059388923400994,0.03953219584145129,0.0021630308203239856,0.0002226806276750537,0.955313303212665,15570,0.004464689889528528,0.005004370425645055,0.0007507314636407969,2.0294944949039717e-06
PUM1:K562,PUM1,K562,0.7380557588355162,5302,0.03748626348412554,0.03958350556596579,0.009517770921515956,0.0005606305585488247,0.5828080652640268,5316,0.11120056662709099,0.11326228980076902,0.016443962064067064,0.0015861368861893599,0.7960110139715111,5302,0.005711174804181374,0.007492244017723304,0.008627022876715129,0.00039087617876498726
QKI:HepG2,QKI,HepG2,0.7988913889298316,19976,0.11511481980218485,0.11569088152078044,0.0010883905700858065,7.338602077389123e-05,0.6222681339998657,19980,0.24736978219460715,0.248019761503245,0.0012890768646525164,5.991977964026063e-06,0.9206671052920694,19976,0.040745490503702575,0.04114245264120708,0.00047935977317759004,4.125896209605795e-05
QKI:K562,QKI,K562,0.8665848867244149,4378,0.09027654155991138,0.0918166980089199,0.002844072098521666,0.00015359825832939045,0.6778184706496893,4378,0.23766492247774873,0.23963290016259287,0.004498383774848458,-0.0003241006728061935,0.9403433547153518,4378,0.03589921032547594,0.03743707114834116,0.0015222088264321698,0.00010893789517374408
RBFOX2:K562,RBFOX2,K562,0.8076928019972557,6968,0.0358898345857922,0.03741871978972933,0.0027485002787879242,5.643314822167955e-05,0.6340945725477921,7038,0.08431830421482511,0.08636936288944508,0.0023998331309246224,-0.00011119759813171814,0.7724137635587847,6968,0.05367558568545605,0.05647837712435788,0.008348810570480758,0.00011097146080962794
RBM15:HepG2,RBM15,HepG2,0.6967496003901215,2986,0.030791606644806846,0.033257232120065705,0.0077387262460359985,-0.00026692997776167626,0.5977777777777777,3000,0.042140888888888894,0.04356222222222228,0.013287111111111138,-0.00047111111111108883,0.796341399403961,2986,0.0028222798152934825,0.003661651224356244,0.013710331177107404,-0.00042439623355072786
RPS3:HepG2,RPS3,HepG2,0.6400096347883972,11294,0.07458635150877868,0.07818628902878777,0.01294305436778398,-3.164139269917765e-05,0.556952146011847,11316,0.12232275649327573,0.12441809511921476,0.009823988806534789,-0.00020079365347114297,0.8157901148965137,11294,0.013354737423636243,0.015326475983947763,0.005196244213725332,0.0002865286472671924
RPS3:K562,RPS3,K562,0.6925141670026929,4738,0.05237109199112422,0.054716177957118584,0.012624192356562869,0.00033979780694104456,0.566865148201758,4744,0.12645955199645098,0.1297915321812375,0.019566385799476227,0.0015839658295629944,0.762878506158323,4738,0.015856280673345102,0.018215265028925565,0.012559333205159229,-0.00040839883246401865
SAFB2:K562,SAFB2,K562,0.7989757258336986,7488,0.007262189303455346,0.007860511291000072,0.0019392851924904253,-0.00011471345605962302,0.5432451894541237,7488,0.04066256723007533,0.041670233627365105,0.017627991110563235,-0.00041034315874055594,0.8975169387829645,7488,0.010067603892724097,0.010994870995872708,0.0008577827087443701,-0.00016736179596765766
SLTM:K562,SLTM,K562,0.7343578991341121,7148,0.018278814631193407,0.020566445656608923,0.012776475252311736,0.0006544812077776685,0.6312431181814728,7278,0.03400204541182772,0.036503495119926566,0.013145354201880677,-0.00012316571996695558,0.8632220391692911,7148,0.01193739276607253,0.013598412836098861,0.0052556563303520765,6.975391819741272e-05
SMNDC1:K562,SMNDC1,K562,0.7245844279977787,4896,0.024328082948865792,0.027140836590627604,0.016293479537784483,0.0008732285125379047,0.5879448177116549,4930,0.07849528284420015,0.08217585754312917,0.024699875333780374,0.001690029582512076,0.7360964265880644,4896,0.02541156713229964,0.02964655020504947,0.020435683124012116,-0.0013109274210774124
SND1:K562,SND1,K562,0.6635916843037128,8260,0.08157279458752753,0.08480186903833653,0.013961329432663705,-0.0002292327445198028,0.5599790059685743,8264,0.14173934882657402,0.14367944004670652,0.014028527611098962,3.5610900309235305e-05,0.7292131630014833,8260,0.02930110395206631,0.03238912111813985,0.010380139415720357,-0.00029237434703832665
SRSF1:HepG2,SRSF1,HepG2,0.81737657001117,3574,0.03910102465452636,0.041328452803293336,0.006077593914138868,0.00018820249084905427,0.6091328907082718,3582,0.11796185468567477,0.12114764529265853,0.013835228627784302,0.0004426874118717006,0.8640604953577242,3574,0.024326346250621023,0.025797519798056223,0.0018049902782920624,-0.00010647062710278377
SRSF1:K562,SRSF1,K562,0.7931860459702988,7722,0.06838867962929074,0.07026420105933173,0.002916821875640796,-3.1662295324585976e-05,0.5956657434555422,7728,0.17883016076626002,0.1805064614062386,0.006871372525065533,-3.536386199087804e-05,0.8746017476916208,7722,0.022390676366330298,0.02351737109571861,0.0013861645563276737,7.24476248958883e-06
