dataset,arm,model,n_folds,pooled,fold_averaged,rank_pooled
LARP4:HepG2,gc,kmer,5,0.033045259335505284,0.032058124500229844,0.032648250306995474
LARP4:HepG2,gc,cnn,5,0.031920043123476516,0.03511199987555811,0.03513429518613209
LARP4:HepG2,gc,splicebert,5,0.15918347013249734,0.1609404512050791,0.16273730834412126
LARP4:HepG2,dn,kmer,5,0.06414783775322841,0.06398966769133221,0.06377069231870847
LARP4:HepG2,dn,cnn,5,0.052984930027070276,0.06631809112067077,0.06595995778115393
LARP4:HepG2,dn,splicebert,5,0.2097654678569526,0.21357641740081226,0.21406258816020507
LARP4:HepG2,neg2,kmer,5,0.005614307243064998,0.0060634292291881445,0.005983600161716507
LARP4:HepG2,neg2,cnn,5,0.0011597890390595555,0.003696832917566284,0.003584548818312161
LARP4:HepG2,neg2,splicebert,5,0.08239960328361551,0.08840089920881311,0.0882844871350803
LARP4:K562,gc,kmer,5,0.0023904813412654047,0.0017713865361464354,0.002103839913466854
LARP4:K562,gc,cnn,5,-0.00272038939967556,-0.001110029126076273,-0.001379123850730024
LARP4:K562,gc,splicebert,5,0.05714981070849101,0.06891486428151841,0.0636235803136832
LARP4:K562,dn,kmer,5,0.009507842076798223,0.008140416807499929,0.007782585181179025
LARP4:K562,dn,cnn,5,0.0017847485127094886,0.0014077389578558198,0.0009410492157923
LARP4:K562,dn,splicebert,5,0.0794753921038398,0.09586892451965492,0.09339102217414819
LARP4:K562,neg2,kmer,5,0.01111411573823684,0.01022183250545492,0.011297998918334384
LARP4:K562,neg2,cnn,5,0.004267171444023776,0.0028154203581128635,0.003742563547863842
LARP4:K562,neg2,splicebert,5,0.044607896160086535,0.04490467004626271,0.04212006489994591
LIN28B:K562,gc,kmer,5,0.03335182480604226,0.034167474707819535,0.0334037889525165
LIN28B:K562,gc,cnn,5,0.035044072620934674,0.0374664170584325,0.037572105871967354
LIN28B:K562,gc,splicebert,5,0.1422670659832389,0.14399808209888404,0.14326852829676173
LIN28B:K562,dn,kmer,5,0.09797989824853537,0.09991744497771708,0.09856320128077445
LIN28B:K562,dn,cnn,5,0.05928190253629362,0.08043113201098147,0.08115006910991052
LIN28B:K562,dn,splicebert,5,0.24868777724664914,0.2572020642475731,0.25673989928217344
LIN28B:K562,neg2,kmer,5,0.013226950289368267,0.01268648662273355,0.012753889439530819
LIN28B:K562,neg2,cnn,5,0.017389601433846602,0.023742383707439307,0.02407524726194632
LIN28B:K562,neg2,splicebert,5,0.054057848942327125,0.054523322292197404,0.05457105107610427
LSM11:K562,gc,kmer,5,0.03432080613371613,0.035213979266295194,0.03370922787670261
LSM11:K562,gc,cnn,5,0.0327734671601444,0.04713330580876007,0.04691161602082128
LSM11:K562,gc,splicebert,5,0.05833789813658308,0.054363654862490084,0.056398551295264054
LSM11:K562,dn,kmer,5,0.0896536991869693,0.08725919023268372,0.08831733244242224
LSM11:K562,dn,cnn,5,0.0825396099437734,0.09184349656980899,0.0891824012324024
LSM11:K562,dn,splicebert,5,0.1302310587025307,0.13255688866917528,0.13516825336978044
LSM11:K562,neg2,kmer,5,0.05449484153283124,0.05572029622649251,0.054304010723311924
LSM11:K562,neg2,cnn,5,0.04166491834223207,0.04924431967936986,0.046217267774136706
LSM11:K562,neg2,splicebert,5,0.049917776062344266,0.05352077518354039,0.05191977518751134
MATR3:HepG2,gc,kmer,5,0.009796323850686517,0.009845692214002666,0.009841530272434174
MATR3:HepG2,gc,cnn,5,0.013914454606765991,0.014567821542755354,0.01456928141430125
MATR3:HepG2,gc,splicebert,5,0.028317548603976395,0.030178720991032228,0.030254413130847868
MATR3:HepG2,dn,kmer,5,0.05187669922632421,0.05130032814751686,0.05197280333516652
MATR3:HepG2,dn,cnn,5,0.1194993722746418,0.1277871788923382,0.1277654714366906
MATR3:HepG2,dn,splicebert,5,0.1687231111312354,0.17968445082766887,0.17924903795121994
MATR3:HepG2,neg2,kmer,5,0.0060873265877560145,0.0061069429677832465,0.0060940921746844845
MATR3:HepG2,neg2,cnn,5,0.006268152274745975,0.006546392429857328,0.0065488216233736685
MATR3:HepG2,neg2,splicebert,5,0.028476765416353134,0.030144762142612393,0.030083141272671865
MATR3:K562,gc,kmer,5,0.004963333256686964,0.005082179963054734,0.00494063527960531
MATR3:K562,gc,cnn,5,0.005139675827237622,0.005452332960002626,0.005532304335829297
MATR3:K562,gc,splicebert,5,0.012779764191265364,0.013696659667709077,0.013636073907656754
MATR3:K562,dn,kmer,5,0.059287949111456184,0.058925673876274655,0.05928585941836717
MATR3:K562,dn,cnn,5,0.07069442274423654,0.0802753707156161,0.08054154206431874
MATR3:K562,dn,splicebert,5,0.13034490194463466,0.1360983838233332,0.13695390462108825
MATR3:K562,neg2,kmer,5,0.005868166767659111,0.005822771487090051,0.0058453842543497725
MATR3:K562,neg2,cnn,5,0.005034005542871145,0.005633598641057391,0.0055575383997359395
MATR3:K562,neg2,splicebert,5,0.017550650726064432,0.018192449511976894,0.018493948220546064
MBNL1:K562,gc,kmer,5,0.033819291880957,0.0330955086504771,0.03355063985477358
MBNL1:K562,gc,cnn,5,0.034155983715338234,0.03691518826041036,0.03716656986776434
MBNL1:K562,gc,splicebert,5,0.06508042726193786,0.07410395613827121,0.07470420219466967
MBNL1:K562,dn,kmer,5,0.07129963649048587,0.07395772872624698,0.07231292272169798
MBNL1:K562,dn,cnn,5,0.05008360995678296,0.059259501826461024,0.05839234941210025
MBNL1:K562,dn,splicebert,5,0.1314288996985058,0.13976359099528776,0.13854751232693152
MBNL1:K562,neg2,kmer,5,0.032816230791029466,0.033054661634279815,0.033303031068239064
MBNL1:K562,neg2,cnn,5,0.025465125740371186,0.030146927949027937,0.030663507374954047
MBNL1:K562,neg2,splicebert,5,0.0673425755241871,0.0720407154649457,0.07097393724625356
METTL1:K562,gc,kmer,5,0.011557695549379465,0.012229272950721137,0.013664792251070645
METTL1:K562,gc,cnn,5,7.34782439563153e-05,0.012815179725001657,0.011696007538003261
METTL1:K562,gc,splicebert,5,0.06057200651795247,0.06180497187510381,0.06375318225630067
METTL1:K562,dn,kmer,5,0.0759246372551986,0.0646974970224243,0.07302656886856462
METTL1:K562,dn,cnn,5,0.05424855528805639,0.06684232747902305,0.0695817359019022
METTL1:K562,dn,splicebert,5,0.16457397746379054,0.16571489021587887,0.16554864475862396
METTL1:K562,neg2,kmer,5,0.012806825696638602,0.010961299697488758,0.012759280950549012
METTL1:K562,neg2,cnn,5,-0.0035399224588413825,-0.0038469906727888192,-0.002491776920051314
METTL1:K562,neg2,splicebert,5,0.07522011056314593,0.0774945124159454,0.0777551099796423
MORC2:K562,gc,kmer,5,0.004296287328609982,0.003291094066378353,0.0039397397719571625
MORC2:K562,gc,cnn,5,-0.0016786524716938533,0.0015347645427737032,0.0013981388660458949
MORC2:K562,gc,splicebert,5,0.022396796829901033,0.02700356395634218,0.026503368377848946
MORC2:K562,dn,kmer,5,0.0010480160124755056,-0.0003622602545060083,0.0004597666400883993
MORC2:K562,dn,cnn,5,0.008385387734433758,0.008978364396331106,0.008996940347482774
MORC2:K562,dn,splicebert,5,0.07167447010320194,0.08145977053613673,0.07978840657478892
MORC2:K562,neg2,kmer,5,0.004814499305359599,0.003943008439183715,0.005254462750007627
MORC2:K562,neg2,cnn,5,-0.0010910502872313321,6.376504413525552e-05,-0.0003698350432359554
MORC2:K562,neg2,splicebert,5,0.028129609096908426,0.03034084071467926,0.029433997363171982
MTPAP:K562,gc,kmer,5,0.0179140274965105,0.0184413852073285,0.018971850863285566
MTPAP:K562,gc,cnn,5,0.006015023333324709,0.02271198300852726,0.02357902940611012
MTPAP:K562,gc,splicebert,5,0.10831180184304379,0.11158127728421745,0.11182322366282771
MTPAP:K562,dn,kmer,5,0.053391241626445596,0.05599679494468164,0.05377576224178082
MTPAP:K562,dn,cnn,5,0.02296636766138993,0.04140440367430147,0.034768848544065145
MTPAP:K562,dn,splicebert,5,0.18388696628581214,0.18745160973753752,0.18496720491026852
MTPAP:K562,neg2,kmer,5,-0.0006681443433175227,0.00014034778212144162,-0.0006599541868510528
