dataset,protein,cell,gain_dn_1:1,comp_dn_1:1,rows_dn_1:1,gain_dn_1:2,comp_dn_1:2,rows_dn_1:2,gain_dn_1:4,comp_dn_1:4,rows_dn_1:4,gain_dn_2:1,comp_dn_2:1,rows_dn_2:1,gain_gc_1:1,comp_gc_1:1,rows_gc_1:1,gain_gc_1:2,comp_gc_1:2,rows_gc_1:2,gain_gc_1:4,comp_gc_1:4,rows_gc_1:4,gain_gc_2:1,comp_gc_2:1,rows_gc_2:1,gain_neg2_1:1,comp_neg2_1:1,rows_neg2_1:1,gain_neg2_1:2,comp_neg2_1:2,rows_neg2_1:2,gain_neg2_1:4,comp_neg2_1:4,rows_neg2_1:4,gain_neg2_2:1,comp_neg2_2:1,rows_neg2_2:1
ELAC2:K562,ELAC2,K562,0.020144713977083173,0.8504695036554191,25866,0.01907167992721004,0.8513997490074054,19399,0.018031708159951476,0.8468118428353044,16167.0,0.018963386665134085,0.8514604726364715,19399,0.005313433871134254,0.9531685216131145,26288,0.005250921113901463,0.95410404817798,19716,0.00514320237203969,0.9507426561865032,16430.0,0.0048281843813312575,0.9538217336204536,19716,0.010377088759595088,0.9418480343118169,26288,0.010124693502266524,0.9428246398616903,19716,0.008058473229166419,0.9384193311301676,16430.0,0.010469254558986063,0.9417083240876193,19716
ELAVL1:K562,ELAVL1,K562,0.05055065115377522,0.6950240081281464,17608,0.04570448957466555,0.6936636748279096,13206,0.039651083797563436,0.688553961573371,11005.0,0.0441696764987044,0.696237703072062,13206,0.0064049959824592495,0.9415679526502242,17642,0.004994343276364943,0.9417967995874615,13231,0.004845219650797317,0.9413761892165701,11026.0,0.006817270988809576,0.9416079850675865,13231,0.012646028550479804,0.9525746297961724,17642,0.01034875802718771,0.9535227082557317,13231,0.01209364069098151,0.9512586049421847,11026.0,0.012899129345272597,0.9532972876260808,13231
EXOSC5:HepG2,EXOSC5,HepG2,0.0005032836419572861,0.690577054428423,1454,0.0041567785721842165,0.6828642471696117,1091,0.0018516559094277074,0.6827319860332239,909.0,-8.691446105468792e-05,0.701316565140499,1091,-0.0004720980232862937,0.9246039786060912,1426,-0.0006678688305616909,0.9231911558452273,1070,-0.000307294703500105,0.9259656145106135,891.0,-0.001021446446741514,0.924817612879654,1070,-0.0011940145838946759,0.8526149312802314,1426,-0.0005382237046291927,0.8550685351279362,1070,-0.0010243156783333873,0.8477078966859448,891.0,-0.001756102160359152,0.8504955979586785,1070
FASTKD2:HepG2,FASTKD2,HepG2,0.009022807874450423,0.6071388753212004,1736,0.005003822548790504,0.6283978211471895,1302,0.00466696535244937,0.5735460402799112,1084.0,0.00016192741404552624,0.6102513325829813,1302,0.0015664470294346478,0.8015262892922052,1646,-0.00036569972513533777,0.8113254845521358,1235,-0.0008493671035402217,0.7716677087142706,1029.0,0.0005485495877031177,0.8027669313074356,1235,-6.20082707222247e-05,0.7528143634777192,1646,-0.0019022284089702524,0.7632831577581427,1235,0.006246387240618656,0.7296299354716936,1029.0,-0.0009348936521605955,0.7514804940485318,1235
FASTKD2:K562,FASTKD2,K562,0.0012765349055703368,0.7302868969649107,1084,0.0008101741534021212,0.7380822701215941,813,,,,0.0005582712653694477,0.7196457019920752,813,-0.00036812573625155665,0.9251736003472008,1016,-0.0004091400339664153,0.9210205341979312,763,,,,-0.000802840821368056,0.9215609078276981,763,0.0012322524645048683,0.9131145762291525,1016,-0.0007874015748031704,0.906716072255674,763,,,,-0.0017291956152540866,0.9164582368380424,763
FKBP4:HepG2,FKBP4,HepG2,0.008691228580401056,0.7158623329097213,2906,0.009064393641765589,0.7067566889545039,2180,0.004540809458534523,0.7056038707793697,1816.0,0.012218707961803577,0.718325032589217,2180,0.0013495657733497701,0.8362709787415419,2740,0.0017362445042045094,0.8316056259871089,2054,0.0021897810218978186,0.8432001536688437,1712.0,0.002711614803432294,0.8296250053357236,2054,9.004209068153024e-05,0.8978379242367733,2740,0.00018034746232975518,0.8963044777393606,2054,-0.00012378879071162086,0.8976394758185,1712.0,0.00044286507021795707,0.8867727408545697,2054
FMR1:K562,FMR1,K562,0.10551727715700332,0.5555778980945717,8890,0.10693153450370707,0.5471359641503615,6666,0.08503896472400407,0.5466277526120046,5555.0,0.10394987209219297,0.5472447528930563,6666,0.06827122486282877,0.6427784801053058,8864,0.06591717531435648,0.637447437475043,6647,0.05433445354309141,0.634718064238404,5539.0,0.05533519814849508,0.6475447392654287,6647,0.012127045755190191,0.8262329411793455,8864,0.010689852580453296,0.8216936541956305,6647,0.007504549323471665,0.8301400425255756,5539.0,0.011616419880858153,0.8237137461189299,6647
FXR1:K562,FXR1,K562,0.0684203139427515,0.5694601415820253,2850,0.06554071012032181,0.5598513816097045,2138,0.028525527301399456,0.5667435442538932,1781.0,0.05492187692231987,0.5616446445707537,2138,0.03178975657911953,0.653011537688482,2846,0.026407060569930474,0.643321594668646,2135,0.01162392485623509,0.6493323963457485,1778.0,0.02128455470717827,0.6595645771317125,2135,0.0099667692052412,0.7799014187657939,2846,0.006560558086650348,0.7768423255189622,2135,0.0005443765898272002,0.7653816079894687,1778.0,0.008950073827252325,0.7745110425039676,2135
FXR2:K562,FXR2,K562,0.09119066045896007,0.5674133606336214,9490,0.0906248154399445,0.5580941546028223,7118,0.05441193978928727,0.5621708837029127,5931.0,0.08957302849895898,0.5598004775359606,7118,0.049198340544389096,0.6447002253394865,9424,0.049170686553999254,0.6396277899002943,7068,0.028958240631538623,0.6416418621864519,5891.0,0.044642638381648725,0.6448013380567911,7068,0.008771134134284209,0.8141332068395976,9424,0.008342767517676819,0.8144190247923879,7068,0.0028080543639324995,0.8095096921076392,5891.0,0.0059828102075111245,0.8205573999556095,7068
G3BP1:HepG2,G3BP1,HepG2,0.11941670575464902,0.5661713766297118,12964,0.11740565405007819,0.5626429860927387,9723,0.11433712605362245,0.558250142138977,8103.0,0.11056255183104535,0.5617861762490218,9723,0.06713329300081483,0.6887407694563812,12956,0.06436647713814381,0.6877221223547035,9717,0.0589669105735553,0.6895437992151323,8097.0,0.060200096824733706,0.6912238930425072,9717,0.02361973520274907,0.783312455361062,12956,0.023196615499907036,0.7815862575600834,9717,0.017457766973350664,0.7870389846110015,8097.0,0.018485202868215866,0.786518571275653,9717
GARS:K562,GARS,K562,0.04611432281586736,0.6225698909962667,1132,0.035123425189476865,0.6308481813981944,849,0.029621832944891402,0.6309425356489486,707.0,0.025097079499057373,0.6279389179537764,849,0.0014762336059100933,0.7452852386309061,1114,-0.0031273527538075996,0.7489816798903495,836,0.00634178474096847,0.7454244862637718,696.0,-0.002567518001583169,0.7417681769335214,836,0.00682032818800371,0.7986101486225581,1114,0.005276603411774605,0.8066317896050913,836,-0.000348733580460725,0.7999173372253724,696.0,0.009060314150949433,0.7881701125460899,836
GEMIN5:K562,GEMIN5,K562,0.03991520316804409,0.6291032483930211,5280,0.030191689623507934,0.6199586776859504,3960,0.017183769513315017,0.6364508723599632,3300.0,0.03569788797061524,0.6335715105601469,3960,0.013890731893144492,0.7553554705480865,5020,0.01041792987412904,0.750161426009111,3765,0.00850950265921957,0.7648341244273306,3137.0,0.011812510912525442,0.7535020079046364,3765,0.0007028459865717762,0.895439120013968,5020,0.0001644418342566789,0.8955619752067426,3765,0.0023758236591114867,0.8906396741582315,3137.0,9.936350216654954e-05,0.8995336581959016,3765
GRSF1:HepG2,GRSF1,HepG2,0.008633314436885864,0.6230965765936004,2016,0.007883466918120474,0.6049190633349049,1513,0.005321067821067893,0.6203337725076855,1261.0,0.004243281471004501,0.6243261826182617,1513,-0.00030403272644641266,0.8534319840408071,1990,0.0003047365340761443,0.8446469294262476,1493,-0.0011099675082237859,0.8424169037960889,1244.0,-0.00014126859195573438,0.8552440919456721,1493,0.0002010050251254336,0.8133340067170022,1990,0.0005105850537829859,0.8085689491634881,1493,-0.0010615325624104832,0.8125285059837339,1244.0,0.0013460878690639833,0.8207725373857239,1493
GRWD1:HepG2,GRWD1,HepG2,0.1552207397893841,0.5678016246264418,44156,0.1540721451088738,0.5680418858234114,33116,0.15438977729734882,0.5608932739925311,27597.0,0.15261624679083008,0.568895051971185,33116,0.07975726553947615,0.6995532968415601,44144,0.07900367110518114,0.6996934749183569,33108,0.07595651241756363,0.6956237886853804,27590.0,0.07857173846415977,0.6973642005714338,33108,0.02461667307205473,0.8495007065085094,44144,0.023933690077654113,0.8503784600755037,33108,0.02348047137175746,0.847892744441369,27590.0,0.025189518641485775,0.8485183535881975,33108
GRWD1:K562,GRWD1,K562,0.13541840979591835,0.5837826612244899,8750,0.1377910510157424,0.5814118231105885,6562,0.11452619482893711,0.5793019587359624,5469.0,0.13319025409889607,0.5759961329936639,6562,0.04829727394507466,0.7715631160570008,8746,0.04934923590216844,0.7722113300677095,6559,0.03724279968843158,0.7764695569105019,5466.0,0.04596617060231312,0.7650600279641626,6559,0.00936828904934961,0.851586160402934,8746,0.009559303963082244,0.8517304159329194,6559,0.004711394402439062,0.8568580508062346,5466.0,0.007904175355342269,0.8498553985416205,6559
GTF2F1:HepG2,GTF2F1,HepG2,0.02084550745962399,0.7452366009539109,8940,0.015496172055404211,0.752796620683307,6706,0.015106674190488834,0.7474961280330408,5588.0,0.017529805141011434,0.7424594694104606,6706,0.010589064767358436,0.8778375918412046,8502,0.009610488418086982,0.8818189644050328,6377,0.009475337806856943,0.8833727391494458,5313.0,0.00901221183527623,0.8738732937167348,6377,0.010136350498790692,0.891555260275842,8502,0.0078812732458724,0.8942041859222765,6377,0.007149752290476874,0.897616424361876,5313.0,0.01142955019382308,0.8906467251466258,6377
HLTF:HepG2,HLTF,HepG2,0.06541309383355809,0.5341973991468479,7290,0.05330977907732293,0.5206896914783529,5469,0.0403093856909118,0.5235150854070979,4558.0,0.07403376410848805,0.5208832695593578,5469,0.024369722811026562,0.6510926734621195,7284,0.01373565646504371,0.6455927414648974,5463,0.014038859964639827,0.6439987558252875,4553.0,0.026135985652770977,0.6388280482659894,5463,0.010362809145001428,0.7828204627144237,7284,0.006598832764733609,0.785331514296717,5463,0.007222120751255057,0.7826268844213532,4553.0,0.009145544340374623,0.7906738788814734,5463
HNRNPC:K562,HNRNPC,K562,0.05142794904152381,0.6683041884502134,1032,0.036791542243537645,0.6507405061382077,773,0.028615552325581328,0.6238947432170543,644.0,0.03928000482610938,0.653047989623865,773,0.006651493299681621,0.9479748813172285,1032,0.0026845232708956335,0.9447410490754984,773,0.0018471414728682412,0.948734253875969,644.0,0.008898138931619948,0.9462492082164511,773,0.008912475211826032,0.9536648939366625,1032,0.006002473380991025,0.946792145507194,773,0.0011203972868216727,0.9500666182170543,644.0,0.007239163876572419,0.9486396404548607,773
