dataset,protein,cell,algo,pool_multiple,pool_min,floor_bound_buckets,n_buckets,mean_l1,median_l1,matched,subsampled_buckets,seconds,pairs,comp,full,gain
SRSF1:HepG2,SRSF1,HepG2,greedy,16,3000,113,113,0.2109101060859855,0.2,1791,0,114.3,1791,0.5976516991558699,0.7261654135807146,0.12851371442484472
SRSF1:HepG2,SRSF1,HepG2,optimal,4,750,113,113,0.2442322724734785,0.24,1791,0,39.1,1791,0.6321485833535192,0.7512420967047533,0.11909351335123408
SRSF1:HepG2,SRSF1,HepG2,optimal,8,1500,113,113,0.2261306532663317,0.22,1791,0,80.6,1791,0.6130737439290254,0.7273397822289686,0.1142660382999432
SRSF1:HepG2,SRSF1,HepG2,optimal,16,3000,113,113,0.20996091568955894,0.2,1791,0,156.4,1791,0.5960552187078453,0.7258879545690486,0.12983273586120336
SMNDC1:K562,SMNDC1,K562,greedy,4,750,107,108,0.2496811120196239,0.24,2446,0,38.0,2446,0.6143146586046001,0.6821389436187972,0.06782428501419713
SMNDC1:K562,SMNDC1,K562,greedy,8,1500,107,108,0.22747564935064934,0.22,2464,0,76.3,2464,0.590553318434812,0.6682275085912465,0.07767419015643451
SMNDC1:K562,SMNDC1,K562,greedy,16,3000,107,108,0.2084137931034483,0.2,2465,0,149.8,2465,0.5681205024501232,0.6522908549304872,0.08417035248036397
SMNDC1:K562,SMNDC1,K562,optimal,4,750,107,108,0.24503042596348884,0.24,2465,0,38.1,2465,0.6095244991750635,0.6729543425399817,0.06342984336491819
SMNDC1:K562,SMNDC1,K562,optimal,8,1500,107,108,0.22354563894523324,0.22,2465,0,75.4,2465,0.5852864237252571,0.6671869458421964,0.08190052211693932
SMNDC1:K562,SMNDC1,K562,optimal,16,3000,107,108,0.2060446247464503,0.2,2465,0,177.0,2465,0.5722330888010236,0.6577383161420125,0.08550522734098887
SLTM:K562,SLTM,K562,greedy,4,750,105,109,0.27894648360885405,0.26,3569,0,37.0,3569,0.670583864778119,0.6927600541413832,0.022176189363264154
SLTM:K562,SLTM,K562,greedy,8,1500,105,109,0.2484213421342134,0.24,3636,0,70.3,3636,0.631406264938925,0.6621899057342479,0.03078364079532281
SLTM:K562,SLTM,K562,greedy,16,3000,105,109,0.22279747183292117,0.22,3639,0,195.5,3639,0.6042914984465336,0.6402021216673422,0.035910623220808624
SLTM:K562,SLTM,K562,optimal,4,750,105,109,0.26943116240725473,0.26,3639,0,66.5,3639,0.6736514694063074,0.6951991271016613,0.02154765769535394
SLTM:K562,SLTM,K562,optimal,8,1500,105,109,0.24129156361637813,0.22,3639,0,107.7,3639,0.6316270387947854,0.6641077496913117,0.032480710896526266
SLTM:K562,SLTM,K562,optimal,16,3000,105,109,0.21928551799945042,0.22,3639,0,159.8,3639,0.60348574845754,0.6410753069646931,0.037589558507153065
FMR1:K562,FMR1,K562,greedy,4,750,79,84,0.23034436191762325,0.22,4443,0,28.6,4443,0.5672647796894558,0.6704222930521292,0.10315751336267343
FMR1:K562,FMR1,K562,greedy,8,1500,79,84,0.2077795275590551,0.2,4445,0,56.6,4445,0.5572480549042732,0.6597414468298325,0.10249339192555929
FMR1:K562,FMR1,K562,greedy,16,3000,79,84,0.1921529808773903,0.18,4445,0,122.7,4445,0.5578040315264304,0.6605544835579467,0.10275045203151623
FMR1:K562,FMR1,K562,optimal,4,750,79,84,0.22589426321709785,0.22,4445,0,30.1,4445,0.5662012777086779,0.6669527951300801,0.1007515174214022
FMR1:K562,FMR1,K562,optimal,8,1500,79,84,0.2057907761529809,0.2,4445,0,57.2,4445,0.5578435597687521,0.6528697073720677,0.09502614760331562
FMR1:K562,FMR1,K562,optimal,16,3000,79,84,0.19122159730033747,0.18,4445,0,115.6,4445,0.5537727075454152,0.6607775827796553,0.10700487523424007
HNRNPL:K562,HNRNPL,K562,greedy,4,750,81,94,0.3686850677181553,0.3,5833,0,51.5,5833,0.7639954680077872,0.8070316124062126,0.0430361443984254
HNRNPL:K562,HNRNPL,K562,greedy,8,1500,81,94,0.3379554794520548,0.26,5840,0,73.5,5840,0.7280484143366486,0.7752544743385251,0.04720606000187655
HNRNPL:K562,HNRNPL,K562,greedy,16,3000,81,94,0.3096112348004796,0.24,5839,0,129.9,5839,0.6924504517975507,0.7426783501962124,0.05022789839866171
HNRNPL:K562,HNRNPL,K562,optimal,4,750,81,94,0.3572876712328767,0.3,5840,0,32.1,5840,0.7646402350347157,0.8054183183993244,0.04077808336460875
HNRNPL:K562,HNRNPL,K562,optimal,8,1500,81,94,0.3277123287671233,0.26,5840,0,58.9,5840,0.7293647084349785,0.7768125469131169,0.04744783847813838
HNRNPL:K562,HNRNPL,K562,optimal,16,3000,81,94,0.2995650684931507,0.24,5840,0,114.3,5840,0.6925603713173204,0.7396624894445487,0.04710211812722831
PTBP1:HepG2,PTBP1,HepG2,greedy,4,750,86,104,0.41219556714471967,0.36,7670,0,39.0,7670,0.8574420055448937,0.8905412475840955,0.03309924203920178
PTBP1:HepG2,PTBP1,HepG2,greedy,8,1500,86,104,0.36776920156902443,0.32,7903,0,75.3,7903,0.8114293694123622,0.8559316957896861,0.044502326377323875
PTBP1:HepG2,PTBP1,HepG2,greedy,16,3000,86,104,0.32606919027325143,0.28,7978,0,163.3,7978,0.7573800186662732,0.8145888753611163,0.0572088566948431
PTBP1:HepG2,PTBP1,HepG2,optimal,4,750,86,104,0.40224971878515187,0.34,8001,0,45.2,8001,0.8647734806177598,0.8969759607445644,0.0322024801268046
PTBP1:HepG2,PTBP1,HepG2,optimal,8,1500,86,104,0.3516385451818523,0.3,8001,0,85.8,8001,0.8144173673079017,0.8582601090624202,0.04384274175451852
PTBP1:HepG2,PTBP1,HepG2,optimal,16,3000,86,104,0.30930133733283344,0.26,8001,0,195.6,8001,0.7585896376126336,0.8153689418993855,0.05677930428675182
NONO:K562,NONO,K562,greedy,4,750,94,111,0.270183611948479,0.24,10947,0,55.3,10947,0.6990878570540042,0.7535156581146949,0.05442780106069067
NONO:K562,NONO,K562,greedy,8,1500,94,111,0.24041379310344826,0.22,11310,0,128.9,11310,0.6615267272845249,0.718656994701996,0.05713026741747107
NONO:K562,NONO,K562,greedy,16,3000,94,111,0.21544877446658436,0.2,11342,0,263.1,11342,0.6272136455693849,0.6919082089590062,0.06469456338962132
NONO:K562,NONO,K562,optimal,4,750,94,111,0.26380851626553825,0.24,11343,0,94.2,11343,0.7109346556773001,0.7617252873031761,0.05079063162587605
NONO:K562,NONO,K562,optimal,8,1500,94,111,0.23268447500661202,0.22,11343,0,148.9,11343,0.6619551805187804,0.7201675898372818,0.05821240931850136
NONO:K562,NONO,K562,optimal,16,3000,94,111,0.2106532663316583,0.2,11343,0,241.8,11343,0.6270807226989187,0.69293096140931,0.0658502387103913
BCLAF1:HepG2,BCLAF1,HepG2,greedy,4,750,74,115,0.2056304510341391,0.2,32104,0,65.7,32104,0.5794043901768542,0.70586190193204,0.12645751175518583
BCLAF1:HepG2,BCLAF1,HepG2,greedy,8,1500,74,115,0.18519838206687872,0.18,32387,0,122.4,32387,0.5665548802424759,0.706674820378603,0.14011994013612705
BCLAF1:HepG2,BCLAF1,HepG2,greedy,16,3000,74,115,0.17023620588507737,0.16,32387,0,213.0,32387,0.561699544437787,0.7031721759305996,0.14147263149281253
BCLAF1:HepG2,BCLAF1,HepG2,optimal,4,750,74,115,0.19984623460030262,0.2,32387,0,67.6,32387,0.5810693059200144,0.7081878150545469,0.1271185091345325
BCLAF1:HepG2,BCLAF1,HepG2,optimal,8,1500,74,115,0.1825077963380369,0.18,32387,1,157.8,32387,0.568076044290942,0.7084623256105789,0.14038628131963682
BCLAF1:HepG2,BCLAF1,HepG2,optimal,16,3000,74,115,0.1703127798190632,0.16,32387,2,308.2,32387,0.5636111966752275,0.7046554237561018,0.14104422708087427
