dataset,protein,cell,pairs,dropped_failed,dropped_similar,dinuc_violations,tied_composition_rows,comp_auroc,full_auroc,kmer_gain,kmer_alone
NOLC1:K562,NOLC1,K562,1567,0,0,0,1567,0.5,0.7069528717090567,0.20695287170905674,0.7072965914325008
NONO:K562,NONO,K562,11164,0,0,0,11164,0.5,0.762131337599062,0.26213133759906204,0.7605535290854657
PCBP1:HepG2,PCBP1,HepG2,929,0,0,0,929,0.5,0.7226064578623727,0.22260645786237265,0.7270929191081306
PCBP2:HepG2,PCBP2,HepG2,8589,0,0,0,8589,0.5,0.7800969029517741,0.28009690295177414,0.774780295883794
PHF6:K562,PHF6,K562,676,0,0,0,676,0.5,0.7117682329050103,0.21176823290501035,0.7153526662231714
PPIL4:K562,PPIL4,K562,658,0,0,0,658,0.5,0.6313134579318372,0.13131345793183724,0.6323528053140677
PRPF4:HepG2,PRPF4,HepG2,8867,0,0,0,8867,0.5,0.7620931905141209,0.26209319051412094,0.7610271886377654
PTBP1:HepG2,PTBP1,HepG2,8349,0,0,0,8349,0.5,0.7868140558344635,0.2868140558344635,0.7837099239416243
PTBP1:K562,PTBP1,K562,7785,0,0,0,7785,0.5,0.7723133885999333,0.27231338859993326,0.7693236792095202
PUM1:K562,PUM1,K562,2651,0,0,0,2651,0.5,0.8170503120392851,0.31705031203928513,0.8150344609928483
QKI:HepG2,QKI,HepG2,9988,0,0,0,9988,0.5,0.8641933997208343,0.3641933997208343,0.8644909233491082
QKI:K562,QKI,K562,2189,0,0,0,2189,0.5,0.8928051111490005,0.3928051111490005,0.894402449558311
RBFOX2:K562,RBFOX2,K562,3484,0,0,0,3484,0.5,0.7578592015195592,0.2578592015195592,0.759295898850708
RBM15:HepG2,RBM15,HepG2,1493,0,0,0,1493,0.5,0.7355347504698193,0.2355347504698193,0.7355791640291443
RPS3:HepG2,RPS3,HepG2,5647,0,0,0,5647,0.5,0.8054266650514609,0.3054266650514609,0.8059521818590457
RPS3:K562,RPS3,K562,2369,0,0,0,2369,0.5,0.7784192221142622,0.2784192221142622,0.7796164436479994
SAFB2:K562,SAFB2,K562,3744,0,0,0,3744,0.5,0.7000785302067355,0.2000785302067355,0.7002775666137043
SLTM:K562,SLTM,K562,3574,0,0,0,3574,0.5,0.7440798416969665,0.2440798416969665,0.7447094275669365
SMNDC1:K562,SMNDC1,K562,2448,0,0,0,2448,0.5,0.7197246852172242,0.2197246852172242,0.7202061039557436
SND1:K562,SND1,K562,4130,0,0,0,4130,0.5,0.8059672038881625,0.30596720388816245,0.8069570086006249
SRSF1:HepG2,SRSF1,HepG2,1787,0,0,0,1787,0.5,0.8741150803430484,0.3741150803430484,0.8755715358920312
SRSF1:K562,SRSF1,K562,3861,0,0,0,3861,0.5,0.893395198238503,0.393395198238503,0.8931602130255328
STAU2:HepG2,STAU2,HepG2,842,0,0,0,842,0.5,0.7122336254027003,0.2122336254027003,0.7008085036757861
SUB1:HepG2,SUB1,HepG2,3296,0,0,0,3296,0.5,0.727268066176124,0.22726806617612405,0.7266359562046376
TAF15:HepG2,TAF15,HepG2,768,0,0,0,768,0.5,0.6765797932942709,0.17657979329427087,0.6805267333984375
TIA1:HepG2,TIA1,HepG2,1729,0,0,0,1729,0.5,0.748039181907253,0.24803918190725305,0.7480649392311138
TIA1:K562,TIA1,K562,5831,0,0,0,5831,0.5,0.733421045611571,0.23342104561157095,0.7294384936766191
TRA2A:HepG2,TRA2A,HepG2,920,0,0,0,920,0.5,0.8815689981096407,0.38156899810964073,0.8848747637051039
U2AF1:K562,U2AF1,K562,1229,0,0,0,1229,0.5,0.8175195191338159,0.31751951913381593,0.8179915667013806
U2AF2:HepG2,U2AF2,HepG2,10699,0,0,0,10699,0.5,0.8332521422184587,0.33325214221845867,0.8287389395105824
UCHL5:HepG2,UCHL5,HepG2,2231,0,0,0,2231,0.5,0.7992333688474674,0.29923336884746743,0.7995678834627425
XPO5:HepG2,XPO5,HepG2,4557,0,0,0,4557,0.5,0.7170099424311053,0.21700994243110527,0.7167466787092845
YBX3:HepG2,YBX3,HepG2,2041,0,0,0,2041,0.5,0.6502399007509215,0.15023990075092153,0.6591949791642712
YBX3:K562,YBX3,K562,17979,0,0,0,17979,0.5,0.7961499050187842,0.29614990501878424,0.7948876992443004
YWHAG:K562,YWHAG,K562,790,0,0,0,790,0.5,0.7286444480051274,0.2286444480051274,0.7333167761576671
ZNF622:K562,ZNF622,K562,14967,0,0,0,14967,0.5,0.8418312675583661,0.3418312675583661,0.8403991777389199
ZNF800:HepG2,ZNF800,HepG2,2936,0,0,0,2936,0.5,0.8138257392957109,0.3138257392957109,0.8143398867019579
ZNF800:K562,ZNF800,K562,2430,0,0,0,2430,0.5,0.8360419312774136,0.33604193127741355,0.8351067757286322
