dataset,protein,cell,supplied_2s_n1,supplied_cf_n1,comp_n1,n_n1,supplied_2s_n2,supplied_cf_n2,comp_n2,n_n2,chrom_2s_n1,chrom_cf_n1,chrom_comp_n1,chrom_2s_n2,chrom_cf_n2,chrom_comp_n2,chrom_blocked,chrom_neighbours,chrom_cross_fold,supplied_neighbours,supplied_cross_fold
HNRNPU:K562,HNRNPU,K562,0.013456014765088176,0.014009784496280764,0.8407458204751856,23178,0.02037545593731449,0.02116702782618063,0.8123730030711236,23178,0.012891992245019801,0.01386264915788149,0.8405829076061927,0.01930073731252202,0.020740662212965444,0.811778683820528,1,10101,0,10101,16
HNRNPUL1:K562,HNRNPUL1,K562,0.011681395448617904,0.012519437571590686,0.7904982454178687,7016,0.013091751014992381,0.014741489492102411,0.7244556334472283,7015,0.010415352951195445,0.012415748853573438,0.7881679308672537,0.012625750291240245,0.014821310303322344,0.7234016248330835,1,2887,0,2887,2
IGF2BP1:HepG2,IGF2BP1,HepG2,0.05315646406440189,0.054340375418298725,0.780262476095356,39827,0.02972254131672336,0.03128187540907057,0.7666457581481888,39844,0.052707039888842955,0.054605647597873896,0.7797181023689207,0.02913748174939146,0.03170144416477305,0.7656149081952063,1,20675,0,20675,52
IGF2BP2:K562,IGF2BP2,K562,0.04894167961375906,0.04949418602387301,0.7982499927461112,39903,0.011341221107310728,0.011978949910829928,0.7794248499208946,39906,0.047930863092176645,0.04940730767428769,0.7975296633806236,0.010019071807169655,0.011708507826550307,0.7779145825044893,1,20768,0,20768,87
IGF2BP3:HepG2,IGF2BP3,HepG2,0.04557382944750166,0.04636239544459331,0.778383724470652,39897,0.005004302208896361,0.005933789956264257,0.7881645191680667,39912,0.04549032494123839,0.046901696846748164,0.7776355914409324,0.004612974762155719,0.0061557881739506826,0.7870292745864915,1,21599,0,21599,55
ILF3:HepG2,ILF3,HepG2,0.10060811303623796,0.10175993437587916,0.7197282745442847,39382,0.16955907682902538,0.17074106493155938,0.7174427630845374,39383,0.10168592515701669,0.10337328943949109,0.7194758627711862,0.17042028004206744,0.1717970198989376,0.7167137541108026,1,17081,0,17081,42
ILF3:K562,ILF3,K562,0.051057833375580675,0.05193519339844266,0.678432860540324,39350,0.109530521580543,0.11025876036058657,0.6710569215958367,39349,0.04767193320944374,0.05210843810394139,0.6738681167446223,0.10802785789564295,0.11169973490383711,0.6665958555199434,1,18924,0,18924,55
KHDRBS1:K562,KHDRBS1,K562,0.01678169312404132,0.01703922321514617,0.9044937038923264,39402,0.005485255843901693,0.005627192517991597,0.9725894585989477,39401,0.01616807045235935,0.017005131492216052,0.9040360369401647,0.005228784542102294,0.005538550054275837,0.9724061212590152,1,17902,0,17902,54
LARP7:HepG2,LARP7,HepG2,0.03763541943065085,0.039335885675296445,0.7532117812061712,2297,0.011125897920604921,0.016486200378071802,0.7226495274102079,2300,0.028503847465979226,0.03361131117091842,0.7544604071111786,0.016466540642722016,0.020915689981096275,0.7236930056710775,1,1119,0,1119,7
LARP7:K562,LARP7,K562,0.013573274258688595,0.015300344085450113,0.9072314406419385,3104,0.023110353119353944,0.025584712775002738,0.7935483147784036,3104,0.011084383967477907,0.013311722818578064,0.9063840970081837,0.02664918562015106,0.028848708683175683,0.79338058972792,1,1397,0,1397,0
