check,value,n,ci_low,ci_high,note
"cnn share of order-1 gain surviving order 2, dn arm",0.7376161762013607,94,0.7013339738504628,0.7673680564052805,"ratio of means, protein-clustered"
"cnn share of order-1 gain surviving order 3, dn arm",0.4204151570428643,94,0.38032445173655227,0.4635272559880689,"ratio of means, protein-clustered"
"cnn share of order-1 gain surviving order 4, dn arm",0.29781605866932853,94,0.24962651791544815,0.3471338377657481,"ratio of means, protein-clustered"
"splicebert share of order-1 gain surviving order 2, dn arm",0.8238110290506804,94,0.8024458622474447,0.843805246102177,"ratio of means, protein-clustered"
"splicebert share of order-1 gain surviving order 3, dn arm",0.5639421311798349,94,0.5365401733994455,0.5923445727902514,"ratio of means, protein-clustered"
"splicebert share of order-1 gain surviving order 4, dn arm",0.44140027361406,94,0.4042058243905548,0.4748293126709363,"ratio of means, protein-clustered"
"kmer share of order-1 gain surviving order 2, neg2 arm",0.3372970387613593,94,0.2853708021048155,0.39193480426630295,"ratio of means, protein-clustered"
"kmer share of order-1 gain surviving order 3, neg2 arm",0.051962607457598384,94,0.02997480611115531,0.0781553711734799,"ratio of means, protein-clustered"
"kmer share of order-1 gain surviving order 4, neg2 arm",2.479472959206081,94,1.9684811966735742,3.1508472831476335,"ratio of means, protein-clustered"
"cnn share of order-1 gain surviving order 2, neg2 arm",0.39526827360380107,94,0.3249853476001081,0.464892286869192,"ratio of means, protein-clustered"
"cnn share of order-1 gain surviving order 3, neg2 arm",0.1984317890221517,94,0.14391467117535475,0.2557117618938769,"ratio of means, protein-clustered"
"cnn share of order-1 gain surviving order 4, neg2 arm",0.12734434088853097,94,0.08499187706336876,0.1774731870948745,"ratio of means, protein-clustered"
"splicebert share of order-1 gain surviving order 2, neg2 arm",0.629678551553266,94,0.5794064923734352,0.6793864107508917,"ratio of means, protein-clustered"
"splicebert share of order-1 gain surviving order 3, neg2 arm",0.45303404557918053,94,0.4064763884137049,0.5035358504202473,"ratio of means, protein-clustered"
"splicebert share of order-1 gain surviving order 4, neg2 arm",0.37245135455207007,94,0.32440641118857855,0.421836235273975,"ratio of means, protein-clustered"
kmer two-arm contrast (dn-gc) at order 1,0.03941896823555005,94,0.030802657786871836,0.04838690102066112,
kmer three-arm span at order 1,2.784932541078344,94,2.289014146363439,3.3786919994463807,smallest arm neg2 at +0.0363
cnn two-arm contrast (dn-gc) at order 1,0.05240843148423125,94,0.04154504998266532,0.06382175420565386,
cnn three-arm span at order 1,3.9780614166163955,94,3.3433504044249536,4.752108269849473,smallest arm neg2 at +0.0285
splicebert two-arm contrast (dn-gc) at order 1,0.08394055002169667,94,0.07305888905498512,0.09493462024389378,
splicebert three-arm span at order 1,2.8454553212874876,94,2.4904333033085786,3.252180656178608,smallest arm neg2 at +0.0740
kmer two-arm contrast (dn-gc) at order 2,0.039750938410523025,94,0.03237834794987913,0.047806761224369096,
kmer three-arm span at order 2,5.4172939204970785,94,4.4310889449351425,6.589071517901726,smallest arm neg2 at +0.0122
cnn two-arm contrast (dn-gc) at order 2,0.0506490819037062,94,0.04145502189054925,0.060469510292688246,
cnn three-arm span at order 2,7.423521306341791,94,6.063225064840809,9.310799769621227,smallest arm neg2 at +0.0113
splicebert two-arm contrast (dn-gc) at order 2,0.0845044514234534,94,0.07563629974806235,0.0936452223155695,
splicebert three-arm span at order 2,3.722720855848121,94,3.22360134839777,4.300600990275582,smallest arm neg2 at +0.0466
kmer two-arm contrast (dn-gc) at order 3,0.006691391051447351,94,0.004350832623724038,0.009574403612719763,
kmer three-arm span at order 3,6.604579522955204,94,4.712017137778855,10.052414974866718,smallest arm neg2 at +0.0019
cnn two-arm contrast (dn-gc) at order 3,0.027715850914549683,94,0.02192111137319532,0.03365348330484724,
cnn three-arm span at order 3,8.428273128184319,94,6.4929745908160905,11.639354734624485,smallest arm neg2 at +0.0057
splicebert two-arm contrast (dn-gc) at order 3,0.051986006990612746,94,0.04633349446192908,0.057685842484464005,
splicebert three-arm span at order 3,3.5420563944865946,94,3.046005530574513,4.113546390542775,smallest arm neg2 at +0.0335
kmer two-arm contrast (dn-gc) at order 4,0.045800001991883756,94,0.037239015346024154,0.055949267386436415,
kmer three-arm span at order 4,1.6061359907457518,94,1.5017144889702272,1.7357972888277435,smallest arm neg2 at +0.0899
cnn two-arm contrast (dn-gc) at order 4,0.019897168967072908,94,0.015326040842561565,0.024807534186598642,
cnn three-arm span at order 4,9.303362552076479,94,6.850895380170767,13.824330747794914,smallest arm neg2 at +0.0036
splicebert two-arm contrast (dn-gc) at order 4,0.03821136581465682,94,0.03304102149077336,0.043459468106616085,
splicebert three-arm span at order 4,3.3722115439300646,94,2.87526023094889,3.9542746376086004,smallest arm neg2 at +0.0276
