table,producing_script,run_sh_stage,status,sha256,bytes,invocation
strand_placebo.csv,scripts/strand_placebo.py,s13b_local_analysis,evidence-recomputable,11916f378dd8b965,1551,"""$PY"" scripts/strand_placebo.py --from-cache || die ""strand placebo"""
strand_placebo_per_dataset.csv,scripts/strand_placebo.py,s13b_local_analysis,evidence-recomputable,4c606c60f75eb013,18105,"""$PY"" scripts/strand_placebo.py --from-cache || die ""strand placebo"""
supplementary_table_s1.csv,scripts/table_s1.py,s13b_local_analysis,raw-reproducible,50466a81cf617c5f,16391,"""$PY"" scripts/table_s1.py || die ""supplementary table s1"""
sweep_dinuc.csv,scripts/variant_splicebert.py,s12_clinvar,raw-reproducible,65b6a2c6a289a04f,37706,"""$PY"" scripts/variant_splicebert.py --what tables || die ""variant tables"""
three_arm_contrast.csv,scripts/three_arm_contrast.py,s13b_local_analysis,evidence-recomputable,fb8a2412bfcbb1ca,2651,"""$PY"" scripts/three_arm_contrast.py --from-cache || die ""three-arm contrast"""
three_arm_models.csv,scripts/three_arm_models.py,s13b_local_analysis,evidence-recomputable,42f454e1e5b099d9,2250,"""$PY"" scripts/three_arm_models.py --from-cache || die ""three arm x three models"""
three_arm_models_per_dataset.csv,scripts/three_arm_models.py,s13b_local_analysis,evidence-recomputable,a2521b810983be6b,23682,"""$PY"" scripts/three_arm_models.py --from-cache || die ""three arm x three models"""
three_arm_per_dataset.csv,scripts/three_arm_contrast.py,s13b_local_analysis,evidence-recomputable,cabde07f145fac09,20223,"""$PY"" scripts/three_arm_contrast.py --from-cache || die ""three-arm contrast"""
transport_check.csv,scripts/transport_check.py,s13b_local_analysis,raw-reproducible,17e99ea9efdddf08,3435,"""$PY"" scripts/transport_check.py || die ""transport check"""
unconditional_refit.csv,scripts/unconditional_refit.py,s13b_local_analysis,raw-reproducible,0c5cf2a2f73fefa6,2288,"""$PY"" scripts/unconditional_refit.py || die ""unconditional refit"""
variant_assignments.csv,scripts/variant_splicebert.py,s12_clinvar,raw-reproducible,cc4be2d8fb452787,4713894,"""$PY"" scripts/variant_splicebert.py --what tables || die ""variant tables"""
variant_coefficients.csv,scripts/incremental_value.py,s13b_local_analysis,raw-reproducible,ec71b74220a28554,474,"""$PY"" scripts/incremental_value.py || die ""incremental value"""
variant_conservation.csv,scripts/variant_splicebert.py,s12_clinvar,raw-reproducible,d7b610a97136f813,1432323,"""$PY"" scripts/variant_splicebert.py --what tables || die ""variant tables"""
variant_ladder.csv,scripts/verify.py,s14_verify,raw-reproducible,bb2112f22f660ce1,442,"""$PY"" scripts/verify.py --local results/tables || die ""THE SCIENCE DID NOT REPRODUCE (local tables) "
variant_ladder_paired.csv,scripts/verify.py,s14_verify,raw-reproducible,039cbe2c137be618,1095,"""$PY"" scripts/verify.py --local results/tables || die ""THE SCIENCE DID NOT REPRODUCE (local tables) "
variant_scores.csv,scripts/variant_splicebert.py,s12_clinvar,raw-reproducible,5110bde03e440c90,3522792,"""$PY"" scripts/variant_splicebert.py --what tables || die ""variant tables"""
variant_specificity.csv,scripts/verify.py,s14_verify,raw-reproducible,1b85f83adccc3a73,13056,"""$PY"" scripts/verify.py --local results/tables || die ""THE SCIENCE DID NOT REPRODUCE (local tables) "
variant_specificity_attacks.csv,scripts/verify.py,s14_verify,raw-reproducible,f7c481ae7aa43510,645,"""$PY"" scripts/verify.py --local results/tables || die ""THE SCIENCE DID NOT REPRODUCE (local tables) "
variant_specificity_controls.csv,scripts/verify.py,s14_verify,raw-reproducible,ffc381405a17defc,352,"""$PY"" scripts/verify.py --local results/tables || die ""THE SCIENCE DID NOT REPRODUCE (local tables) "
variant_specificity_refit.csv,scripts/incremental_value.py,s13b_local_analysis,raw-reproducible,9df71aab8a08bf05,410,"""$PY"" scripts/incremental_value.py || die ""incremental value"""
variant_threshold_curve.csv,scripts/cloud_analysis.py,,frozen-only,dc487df8279213cd,1918,not invoked by run.sh
window_centring.csv,scripts/window_centring.py,s13b_local_analysis,frozen-only,be5fbf88ceaa1f94,2533,"#   ""$PY"" scripts/window_centring.py --store ../rbp-store    # B16, needs the genome FASTA"
window_centring_per_dataset.csv,scripts/window_centring.py,s13b_local_analysis,frozen-only,6250e080d134fda7,6496,"#   ""$PY"" scripts/window_centring.py --store ../rbp-store    # B16, needs the genome FASTA"
