dataset,protein,cell,gain_seed7,gain_seed11,gain_seed23,gain_seed42,gain_seed101
EXOSC5:HepG2,EXOSC5,HepG2,-0.0011940145838946759,0.0024057328436628556,0.0024352389701182142,-0.0015146478247101136,-0.0006884762839591829
FASTKD2:HepG2,FASTKD2,HepG2,-6.20082707222247e-05,0.0012416418018421638,-0.0004945897783794617,-0.00040600653449063273,-0.0007426228612682495
FASTKD2:K562,FASTKD2,K562,0.0012322524645048683,-0.00033712567425137063,0.0002635005270010815,0.0011896273792547651,0.0010772521545042713
FKBP4:HepG2,FKBP4,HepG2,9.004209068153024e-05,-0.00019979753849441728,-0.0002770525867121787,-0.00030795460599930546,0.000860461399115553
FMR1:K562,FMR1,K562,0.012127045755190191,0.011316970685790295,0.010962130110518942,0.012283593067810017,0.0100534938712874
FXR1:K562,FXR1,K562,0.0099667692052412,0.005368583293537732,0.01431408212337315,0.01010356412496427,0.009135135108440773
FXR2:K562,FXR2,K562,0.008771134134284209,0.01293567195413381,0.012624406925495935,0.012053086293421278,0.01187414605918935
G3BP1:HepG2,G3BP1,HepG2,0.02361973520274907,0.020690448618407853,0.02047281219995456,0.016135716097450348,0.02082906583576738
GARS:K562,GARS,K562,0.00682032818800371,0.012248226424581454,-0.0002514109634519368,0.004554406299456248,0.016525436020744744
GEMIN5:K562,GEMIN5,K562,0.0007028459865717762,0.0008131616958459986,0.0005896731797907506,0.0005101506325294602,0.0004522150442056727
GRSF1:HepG2,GRSF1,HepG2,0.0002010050251254336,-0.0019110628519480866,-0.0007181636827352511,0.00048786646801834976,-0.0007706876088987569
GRWD1:HepG2,GRWD1,HepG2,0.02461667307205473,0.024438828718454264,0.023565771633276222,0.025144222634388647,0.024503532608231682
GRWD1:K562,GRWD1,K562,0.00936828904934961,0.007809234566163337,0.00898168913675157,0.007092772317751961,0.007685823800069658
GTF2F1:HepG2,GTF2F1,HepG2,0.010136350498790692,0.009975153008956239,0.009127219903313666,0.010744673192149223,0.010282883610044702
HLTF:HepG2,HLTF,HepG2,0.010362809145001428,0.010731094699975019,0.007714018011236834,0.004784319614866028,0.007328392501781633
HNRNPC:K562,HNRNPC,K562,0.008912475211826032,0.009667387777176906,0.008334084490114968,0.006700318490475365,0.016446577729703815
HNRNPL:K562,HNRNPL,K562,0.0206711339087442,0.019066061330936912,0.020253034625667188,0.018040925342970637,0.019482633846969133
HNRNPM:HepG2,HNRNPM,HepG2,0.014066281633336009,0.015241668537214759,0.012606777639977196,0.014421001635632202,0.014098506612962192
HNRNPUL1:HepG2,HNRNPUL1,HepG2,0.0037365477284496684,0.0019219196805507766,-6.530795030978975e-05,-0.0015160774179103775,-0.004949409662777682
IGF2BP1:K562,IGF2BP1,K562,0.02289569437549166,0.022860250412519822,0.023254802534126595,0.02249048449378832,0.02335772516837109
KHSRP:HepG2,KHSRP,HepG2,0.012870681244260718,0.012595988292010918,0.014230120810376556,0.011814451331496834,0.011142856117998146
KHSRP:K562,KHSRP,K562,0.007720911618821713,0.007791223235640965,0.007550120059715004,0.007349067263759168,0.007022652857636924
LARP4:HepG2,LARP4,HepG2,0.005614307243064998,0.0083895252364794,0.009521308924509087,0.007958011437684709,0.008125499089894017
LARP4:K562,LARP4,K562,0.011114115738237063,-0.0009410492157924111,0.0077988101676581545,0.0006814494321255582,-0.002049756625202681
LIN28B:K562,LIN28B,K562,0.013226950289368489,0.009514362384137831,0.010614547167848376,0.010863778545888714,0.010301277897774241
LSM11:K562,LSM11,K562,0.05449484153283124,0.046619047098998,0.04276621903813238,0.04445898028522299,0.06022321456797797
MATR3:HepG2,MATR3,HepG2,0.0060873265877561256,0.005337966079233092,0.006182823872336596,0.007135685034948214,0.007262960076312552
MATR3:K562,MATR3,K562,0.005868166767659444,0.007526894355414537,0.006488747213685975,0.006914048974203779,0.0068337395580853055
MBNL1:K562,MBNL1,K562,0.032816230791029355,0.03408934678978359,0.03229786565434645,0.03561147445771573,0.038117724299891464
METTL1:K562,METTL1,K562,0.012806825696638713,0.020344829076637594,0.02501718094233707,0.015235929996844755,0.025155492930960754
MORC2:K562,MORC2,K562,0.004814499305359821,-0.00021407617273139223,0.008626531567377027,-7.08665951111298e-05,0.007219534376942227
MTPAP:K562,MTPAP,K562,-0.0006681443433175227,0.0029182820672644105,0.003283821682189214,0.0026139530954050194,0.004281296527632206
NCBP2:HepG2,NCBP2,HepG2,0.0011730345686105093,0.001796446238230831,0.0015901529328917752,0.0026997429510540183,0.0014609979551939434
NKRF:HepG2,NKRF,HepG2,0.003014379511907306,0.0033444257319666937,0.004180372297571622,0.002807591047074509,0.0031493875200643284
NOLC1:K562,NOLC1,K562,0.008566929031243897,0.00863371817181846,0.008362896351806093,0.016055050541867733,0.007184719622038593
NONO:K562,NONO,K562,0.02411061505599532,0.02272978989768637,0.023878745804866708,0.023728731638689604,0.024227725114802534
PCBP1:HepG2,PCBP1,HepG2,0.00015178884896538403,-0.0012710867733978226,-0.0003244341809949258,0.0022837848955032936,-0.00023753216822830492
PCBP2:HepG2,PCBP2,HepG2,0.013597308890856752,0.013547343403778056,0.013302965270014733,0.013618780765933591,0.01258288479277625
PHF6:K562,PHF6,K562,0.006890952697734654,0.022756118483246435,0.02608670914883926,0.005768355449739193,0.018749343510381267
PPIL4:K562,PPIL4,K562,-0.005748745854158854,-0.0034090594137156094,-0.00292172097449217,-0.001658336489869905,0.003866372261897011
PRPF4:HepG2,PRPF4,HepG2,0.00276832596852572,0.0017915338467519026,0.001641718948089621,0.0019220161496111832,0.001983091889773858
PTBP1:HepG2,PTBP1,HepG2,0.004050968440919123,0.00444611489365121,0.005230568973735639,0.004114019147416492,0.004797864671263086
PTBP1:K562,PTBP1,K562,0.004464689889528639,0.0034010367746876158,0.0036060982184586976,0.004228773529451613,0.004627824947024628
PUM1:K562,PUM1,K562,0.005711174804181152,0.0058126290143958315,0.008195308888228392,0.005848486603419856,0.006135489607631328
QKI:HepG2,QKI,HepG2,0.040745490503702464,0.040081698358414464,0.039882640907174416,0.041959261806999715,0.03973585884158304
QKI:K562,QKI,K562,0.03589921032547594,0.03358605394596215,0.0336914440552778,0.03667074940298065,0.036603341471675765
