dataset,model,published,recomputed,abs_diff,note
FMR1:K562,splicebert,0.8515774476446911,0.8515774476446913,2.220446049250313e-16,
FXR1:K562,splicebert,0.8354580486303478,0.8354580486303478,0.0,
FXR2:K562,splicebert,0.8035856500270374,0.8035856500270374,0.0,
G3BP1:HepG2,splicebert,0.8963421692959146,0.8963421692959146,0.0,
GARS:K562,splicebert,0.7794484885564809,0.7794484885564809,0.0,
GEMIN5:K562,splicebert,0.782754677456382,0.782754677456382,0.0,
GRSF1:HepG2,splicebert,0.7060490284076595,0.7060490284076595,0.0,
GRWD1:HepG2,splicebert,0.8919606720758404,0.8919606720758406,2.220446049250313e-16,
GRWD1:K562,splicebert,0.86613504,0.8661350400000001,1.1102230246251565e-16,
GTF2F1:HepG2,splicebert,0.8602593727009293,0.8602593727009294,1.1102230246251565e-16,
HLTF:HepG2,splicebert,0.7437636539145455,0.7437636539145455,0.0,
HNRNPC:K562,splicebert,0.8195909200168259,0.819590920016826,1.1102230246251565e-16,
HNRNPL:K562,splicebert,0.8242997191077125,0.8242997191077125,0.0,
HNRNPM:HepG2,splicebert,0.8802135705176771,0.8802135705176772,1.1102230246251565e-16,
HNRNPUL1:HepG2,splicebert,0.7055284769062172,0.7055284769062171,1.1102230246251565e-16,
IGF2BP1:K562,splicebert,0.7660108274242656,0.7660108274242656,0.0,
KHSRP:HepG2,splicebert,0.8015618234115041,0.8015618234115041,0.0,
KHSRP:K562,splicebert,0.8192602611777133,0.8192602611777133,0.0,
LARP4:HepG2,splicebert,0.7773222036299671,0.7773222036299671,0.0,
LARP4:K562,splicebert,0.6978474851270958,0.6978474851270957,1.1102230246251565e-16,
LIN28B:K562,splicebert,0.8298119740446458,0.8298119740446457,1.1102230246251565e-16,
LSM11:K562,splicebert,0.7502862647043568,0.7502862647043568,0.0,
MATR3:HepG2,splicebert,0.8185973665673631,0.8185973665673631,0.0,
MATR3:K562,splicebert,0.8188265009727205,0.8188265009727205,0.0,
MBNL1:K562,splicebert,0.7727131154121942,0.7727131154121943,1.1102230246251565e-16,
METTL1:K562,splicebert,0.8094190464252834,0.8094190464252835,1.1102230246251565e-16,
MORC2:K562,splicebert,0.7322873327362664,0.7322873327362664,0.0,
MTPAP:K562,splicebert,0.7689529870260527,0.7689529870260527,0.0,
NCBP2:HepG2,splicebert,0.7662845452459461,0.766284545245946,1.1102230246251565e-16,
NCBP2:K562,splicebert,0.7299255017107914,0.7299255017107912,2.220446049250313e-16,
NKRF:HepG2,splicebert,0.852802167065018,0.8528021670650181,1.1102230246251565e-16,
NOLC1:K562,splicebert,0.6672457300499006,0.6672457300499006,0.0,
NONO:K562,splicebert,0.8401097694656554,0.8401097694656554,0.0,
PCBP1:HepG2,splicebert,0.6782446808510638,0.6782446808510638,0.0,
PCBP2:HepG2,splicebert,0.9080918688972648,0.9080918688972648,0.0,
PHF6:K562,splicebert,0.6678142953263289,0.667814295326329,1.1102230246251565e-16,
PPIL4:K562,splicebert,0.6531416294979517,0.6531416294979517,0.0,
PRPF4:HepG2,splicebert,0.8632106142140292,0.8632106142140292,0.0,
PTBP1:HepG2,splicebert,0.9231853454888568,0.9231853454888567,1.1102230246251565e-16,
PTBP1:K562,splicebert,0.9166927163421028,0.9166927163421028,0.0,
PUM1:K562,splicebert,0.8483847900711171,0.8483847900711171,0.0,
QKI:HepG2,splicebert,0.9330404328252176,0.9330404328252178,1.1102230246251565e-16,
QKI:K562,splicebert,0.9487002686508668,0.9487002686508668,0.0,
RBFOX2:K562,splicebert,0.7926926300541509,0.7926926300541508,1.1102230246251565e-16,
RBM15:HepG2,splicebert,0.7304795555555554,0.7304795555555554,0.0,
RPS3:HepG2,splicebert,0.8472564271149651,0.847256427114965,1.1102230246251565e-16,
RPS3:K562,splicebert,0.8723919305898781,0.872391930589878,1.1102230246251565e-16,
SAFB2:K562,splicebert,0.7409805475084922,0.7409805475084922,0.0,
SLTM:K562,splicebert,0.7987497433418206,0.7987497433418205,1.1102230246251565e-16,
SMNDC1:K562,splicebert,0.7698622911429382,0.7698622911429382,0.0,
SND1:K562,splicebert,0.8949045018737894,0.8949045018737893,1.1102230246251565e-16,
SRSF1:HepG2,splicebert,0.8549452080802299,0.85494520808023,1.1102230246251565e-16,
SRSF1:K562,splicebert,0.8997924784280441,0.8997924784280441,0.0,
STAU2:HepG2,splicebert,0.6998236694553223,0.6998236694553223,0.0,
SUB1:HepG2,splicebert,0.7543427177895107,0.7543427177895108,1.1102230246251565e-16,
TAF15:HepG2,splicebert,0.7333017985026041,0.7333017985026042,1.1102230246251565e-16,
TIA1:HepG2,splicebert,0.7942648809593499,0.7942648809593499,0.0,
TIA1:K562,splicebert,0.8271370771346717,0.8271370771346718,1.1102230246251565e-16,
TRA2A:HepG2,splicebert,0.8640009148343453,0.8640009148343454,1.1102230246251565e-16,
U2AF1:K562,splicebert,0.9411150770044284,0.9411150770044284,0.0,
U2AF2:HepG2,splicebert,0.9444388963008364,0.9444388963008362,2.220446049250313e-16,
UCHL5:HepG2,splicebert,0.8421040176371646,0.8421040176371646,0.0,
XPO5:HepG2,splicebert,0.7745859687017547,0.7745859687017547,0.0,
YBX3:HepG2,splicebert,0.7368220359713404,0.7368220359713403,1.1102230246251565e-16,
YBX3:K562,splicebert,0.8625929347382033,0.8625929347382033,0.0,
YWHAG:K562,splicebert,0.7291050307472944,0.7291050307472943,1.1102230246251565e-16,
ZNF622:K562,splicebert,0.8966173488228133,0.8966173488228132,1.1102230246251565e-16,
ZNF800:HepG2,splicebert,0.8606509802540454,0.8606509802540452,2.220446049250313e-16,
ZNF800:K562,splicebert,0.887214834407802,0.8872148344078019,1.1102230246251565e-16,
AATF:K562,cnn,0.6254256303265298,0.6254256303265298,0.0,
AKAP1:HepG2,cnn,0.6721632869373865,0.6721632869373865,0.0,
AQR:HepG2,cnn,0.8212904492624157,0.8212904492624158,1.1102230246251565e-16,
BCCIP:HepG2,cnn,0.7074600459175069,0.7074600459175069,0.0,
BCLAF1:HepG2,cnn,0.811925571927269,0.811925571927269,0.0,
BUD13:K562,cnn,0.7541680934597338,0.7541680934597339,1.1102230246251565e-16,
CDC40:HepG2,cnn,0.7136418304231849,0.7136418304231849,0.0,
CSTF2T:HepG2,cnn,0.8097324177956365,0.8097324177956366,1.1102230246251565e-16,
DDX24:K562,cnn,0.7485166069878473,0.7485166069878473,0.0,
DDX55:HepG2,cnn,0.6564418580762093,0.6564418580762091,1.1102230246251565e-16,
DDX55:K562,cnn,0.5914802908098574,0.5914802908098574,0.0,
