dataset,protein,cell,n_neg,frac_in_target_peak,deficit,gain_neg2,gain_gc,comp_neg2
GRWD1:K562,GRWD1,K562,4373,0.0,-0.038928984895724994,0.0093682890493496,0.0482972739450746,0.851586160402934
GTF2F1:HepG2,GTF2F1,HepG2,4251,0.0004704775346977182,-0.00045271426856779984,0.0101363504987906,0.0105890647673584,0.891555260275842
HLTF:HepG2,HLTF,HepG2,3642,0.0,-0.014006913666025099,0.0103628091450014,0.0243697228110265,0.7828204627144237
HNRNPC:K562,HNRNPC,K562,516,0.0,0.0022609819121444004,0.008912475211826,0.0066514932996816,0.9536648939366624
HNRNPL:K562,HNRNPL,K562,5836,0.0,0.0007101228413274006,0.0206711339087442,0.0199610110674168,0.900535354992129
HNRNPM:HepG2,HNRNPM,HepG2,13395,0.0,0.0013197082195852,0.014066281633336,0.0127465734137508,0.9224347025466344
HNRNPUL1:HepG2,HNRNPUL1,HepG2,463,0.0,-0.0010169380833982,0.0037365477284496,0.0047534858118478,0.789521805858123
IGF2BP1:K562,IGF2BP1,K562,5706,0.0,-0.017907647652362402,0.0228956943754916,0.040803342027854,0.8133613359069213
KHSRP:HepG2,KHSRP,HepG2,5280,0.0,-0.0157595127410469,0.0128706812442607,0.0286301939853076,0.9313630265725436
KHSRP:K562,KHSRP,K562,23198,0.0,-0.012318872885939802,0.0077209116188217,0.0200397845047615,0.9732777836749664
LARP4:HepG2,LARP4,HepG2,5421,0.0,-0.027430952092440702,0.0056143072430649,0.0330452593355056,0.6940868317648465
LARP4:K562,LARP4,K562,430,0.0,0.0087236343969716,0.011114115738237,0.0023904813412654,0.6963872363439696
LIN28B:K562,LIN28B,K562,6916,0.0,-0.020124874516673802,0.0132269502893684,0.0333518248060422,0.7786827035556146
LSM11:K562,LSM11,K562,1319,0.0,0.0201740353991152,0.0544948415328312,0.034320806133716,0.747241144042199
MATR3:HepG2,MATR3,HepG2,6984,0.0,-0.0037089972629306992,0.0060873265877561,0.0097963238506868,0.9133700626796776
MATR3:K562,MATR3,K562,4864,0.0,0.0009048335109724994,0.0058681667676594,0.0049633332566869,0.9470023369194728
MBNL1:K562,MBNL1,K562,1194,0.0,-0.0010030610899275025,0.0328162307910293,0.0338192918809568,0.7918108128582612
METTL1:K562,METTL1,K562,481,0.0,0.0012491301472593013,0.0128068256966387,0.0115576955493794,0.7762155246562731
MORC2:K562,MORC2,K562,823,0.0,0.0005182119767499997,0.0048144993053598,0.0042962873286098,0.8197050473255979
MTPAP:K562,MTPAP,K562,1077,0.0,-0.018582171839827997,-0.0006681443433175,0.0179140274965105,0.7427678763096707
NCBP2:HepG2,NCBP2,HepG2,3186,0.0,-0.0189969140728287,0.0011730345686105,0.0201699486414392,0.9167486322970592
NKRF:HepG2,NKRF,HepG2,3537,0.0005654509471303364,0.0006426668949574004,0.0030143795119073,0.0023717126169499,0.8907523830831848
NOLC1:K562,NOLC1,K562,1567,0.0,0.0023864900229648,0.0085669290312438,0.006180439008279,0.717483564373532
NONO:K562,NONO,K562,11164,8.957362952346828e-05,-0.0035796716194154005,0.0241106150559953,0.0276902866754107,0.8622011446938584
PCBP1:HepG2,PCBP1,HepG2,929,0.0,-0.0024008129393622,0.0001517888489653,0.0025526017883275,0.9031610317470434
PCBP2:HepG2,PCBP2,HepG2,8589,0.00011642798928862498,0.0056651454846278,0.0135973088908567,0.0079321634062289,0.9389332552863208
PHF6:K562,PHF6,K562,676,0.0,-0.0012101291971569998,0.0068909526977346,0.0081010818948916,0.7641604810755926
PPIL4:K562,PPIL4,K562,658,0.0,-0.0026884452287027996,-0.0057487458541588,-0.003060300625456,0.79128749734389
PRPF4:HepG2,PRPF4,HepG2,8867,0.0010149994361114245,-0.0029637250930824,0.0027683259685257,0.0057320510616081,0.9281680486907706
PTBP1:HepG2,PTBP1,HepG2,8349,0.00011977482333213559,1.1089464419100116e-05,0.0040509684409191,0.0040398789765,0.9537627865434042
