dataset,protein,cell,coverage_gc,cnn_raw_gc,cnn_nrows_gc,splicebert_raw_gc,splicebert_nrows_gc,comp_gc,kmer_full_gc,kmer_gain_gc,kmer_se_gc,cnn_full_gc,cnn_gain_gc,cnn_se_gc,splicebert_full_gc,splicebert_gain_gc,splicebert_se_gc,n_gc,coverage_dn,cnn_raw_dn,cnn_nrows_dn,splicebert_raw_dn,splicebert_nrows_dn,comp_dn,kmer_full_dn,kmer_gain_dn,kmer_se_dn,cnn_full_dn,cnn_gain_dn,cnn_se_dn,splicebert_full_dn,splicebert_gain_dn,splicebert_se_dn,n_dn,coverage_neg2,cnn_raw_neg2,cnn_nrows_neg2,splicebert_raw_neg2,splicebert_nrows_neg2,comp_neg2,kmer_full_neg2,kmer_gain_neg2,kmer_se_neg2,cnn_full_neg2,cnn_gain_neg2,cnn_se_neg2,splicebert_full_neg2,splicebert_gain_neg2,splicebert_se_neg2,n_neg2
DDX55:K562,DDX55,K562,1.0,0.670896694214876,2200,0.7977909090909091,2200,0.6753347107438016,0.6859950413223139,0.010660330578512345,0.004343913310564294,0.6991181818181817,0.02378347107438017,0.006763280281850162,0.7908173553719009,0.11548264462809932,0.010058373714237978,2200,1.0,0.5914802908098574,2202,0.7489005536210579,2202,0.5950572553561662,0.6246579568899877,0.02960070153382155,0.008717280501116578,0.6110042806432266,0.01594702528706049,0.008592307543151524,0.7423183118971194,0.14726105654095323,0.012771591073574728,2202,1.0,0.7049628099173553,2200,0.7600280991735537,2200,0.7223041322314049,0.7209198347107438,-0.0013842975206610486,0.0015008211766558827,0.7239570247933883,0.0016528925619834212,0.003008057219189916,0.7548710743801652,0.032566942148760325,0.006374195793121967,2200
DDX59:HepG2,DDX59,HepG2,1.0,0.8684526099809506,6104,0.9003247982974016,6104,0.8695836174719026,0.8732496491568601,0.0036660316849574937,0.001015121062943045,0.8748968297865397,0.005313212314637106,0.001489668740576755,0.8960033512605448,0.026419733788642152,0.0023687356686001837,6104,1.0,0.7622411147608539,6178,0.8176549564809854,6178,0.7267493621043394,0.7456888398048988,0.01893947770055937,0.0030597961454242872,0.7660984617248455,0.039349099620506145,0.004176558179800173,0.8142902252072721,0.08754086310293274,0.005062004207025978,6178,1.0,0.8836599638592918,6104,0.9110687789971641,6104,0.8882951084650677,0.893483249709277,0.005188141244209299,0.001089431465598969,0.8898626300953847,0.001567521630317037,0.0005976183796440254,0.9090337170134446,0.020738608548376947,0.0019890556027933035,6104
DDX6:HepG2,DDX6,HepG2,1.0,0.7096626405664307,980,0.8128779675135361,980,0.7645439400249896,0.7777051228654728,0.013161182840483177,0.005396794775747217,0.7612244897959184,-0.003319450229071208,0.0023566766668678793,0.8065306122448981,0.04198667221990848,0.008716649548888109,980,1.0,0.6163530810659579,986,0.7518607359009912,986,0.6224218161769849,0.6847837267382297,0.06236191056124485,0.013977867268366372,0.6398997732967426,0.017477957119757748,0.013182019781012844,0.7253763644368008,0.10295454825981587,0.017148182748707455,986,1.0,0.5987921699291961,980,0.744960433152853,980,0.6960099958350687,0.7064139941690961,0.010403998334027387,0.006892678070705842,0.6910287380258227,-0.004981257809246076,0.0027896058440453142,0.7506289046230737,0.054618908788005016,0.011678310056244716,980
DDX6:K562,DDX6,K562,1.0,0.8013214278399913,3878,0.8535973812950483,3878,0.794392722225931,0.80544567003775,0.01105294781181898,0.0025212522925116467,0.8063108938136634,0.01191817158773234,0.0026816440682244772,0.8510022419216745,0.05660951969574346,0.0047434543665916965,3878,1.0,0.6666395431741028,3910,0.7725842975909367,3910,0.5966156683956804,0.6482506001399782,0.051634931744297785,0.007442320553524373,0.6668347276640002,0.07021905926831984,0.008601743623631026,0.765080814489701,0.16846514609402063,0.009532135485071152,3910,1.0,0.7266863684831933,3878,0.8041556807007754,3878,0.7391737312422917,0.7686142136610669,0.02944048241877517,0.004179130415472325,0.7476738300528151,0.008500098810523382,0.0026888788378070104,0.8010679515847053,0.06189422034241365,0.005563407050448089,3878
DGCR8:K562,DGCR8,K562,1.0,0.696855918978645,2472,0.7501027691373153,2472,0.6942212324965176,0.693617709282475,-0.0006035232140425562,0.001066809851560563,0.7041852567526523,0.00996402425613474,0.004223558084078475,0.7475512143777296,0.053329981881212074,0.007545102871894309,2472,1.0,0.5935539223023563,2506,0.6697904279529607,2506,0.5666973883589203,0.5630942243006251,-0.003603164058295194,0.0015830634635405885,0.5944207963139064,0.02772340795498618,0.009204128197290986,0.6597401670945835,0.09304277873566325,0.012087673000931162,2506,1.0,0.6528399629245609,2472,0.7766093515987473,2472,0.6876656088645908,0.6865272933882134,-0.0011383154763774384,0.0012650303241812924,0.6843717598265624,-0.003293849038028429,0.002047920168579127,0.766810281626711,0.07914467276212023,0.008148441745966777,2472
DHX30:K562,DHX30,K562,1.0,0.7153071476602982,1590,0.7642213520034808,1590,0.746954629959258,0.7579399549068471,0.010985324947589081,0.005000279788746188,0.7456777817333174,-0.0012768482259405411,0.004367416184179959,0.7721988845377953,0.025244254578537295,0.008387555309843689,1590,1.0,0.6141203812800453,1648,0.7192743189744557,1648,0.6215006126873409,0.6231899212932416,0.0016893086059006635,0.002795063772596328,0.6341078329720049,0.01260722028466399,0.008340041820195137,0.7088262324441512,0.0873256197568103,0.012688945324491547,1648,1.0,0.7584763260946956,1590,0.827465685692813,1590,0.7840180372611842,0.787647640520549,0.0036296032593647887,0.0020957977783317987,0.7850591353190143,0.0010410980578300366,0.0010591046219247595,0.8232142715873582,0.03919623432617392,0.006315386682490174,1590
DROSHA:HepG2,DROSHA,HepG2,1.0,0.7708935061704509,4304,0.8257316182059397,4304,0.7368063856911872,0.7541750304031177,0.01736864471193056,0.003283074663082521,0.7665597663105818,0.029753380619394587,0.004056818367479181,0.8117250228023383,0.0749186371111511,0.005846825317520856,4304,1.0,0.6593767191294664,4368,0.7593290028042775,4368,0.6119170054609616,0.6561854278200431,0.04426842235908146,0.006600519296198843,0.659658488642005,0.04774148318104343,0.0075507930589989785,0.7465047162849361,0.13458771082397447,0.008535621250791194,4368,1.0,0.6838542170506212,4304,0.7684450619118034,4304,0.681957261162781,0.6998635746465638,0.0179063134837828,0.003813003098824825,0.6924625316123325,0.010505270449551518,0.0031942416059873393,0.762320172468595,0.08036291130581397,0.006645700202433536,4304
DROSHA:K562,DROSHA,K562,1.0,0.8234760003560815,7572,0.8753451632770552,7572,0.8074519827127442,0.8171799012627221,0.009727918549977899,0.0016013155096919619,0.8259885239053213,0.018536541192577083,0.0021124152219979785,0.871907204483725,0.06445522177098084,0.0034340438001621942,7572,1.0,0.7229873174248598,7832,0.7915211395380624,7832,0.6667441579606883,0.6908815983456467,0.024137440384958353,0.0034097030836664852,0.7234847398014067,0.056740581840718396,0.00473776387257025,0.7858573193342105,0.11911316137352224,0.005710979526405268,7832,1.0,0.8448952740781298,7572,0.8786307897782277,7572,0.8461746630132032,0.8619978964399939,0.015823233426790706,0.0016400416474094254,0.8469621027116613,0.00078743969845807,0.0007087243357886442,0.8737439824035447,0.027569319390341462,0.002218009847183824,7572
EFTUD2:HepG2,EFTUD2,HepG2,1.0,0.8223720673110421,14248,0.8966324282517976,14248,0.7878537913927692,0.8082189338078242,0.020365142415054938,0.0016598164706185397,0.8221667920885534,0.034313000695784135,0.0021309883781546126,0.8950515154505367,0.10719772405776751,0.003113045492931064,14248,1.0,0.7531727607974463,14818,0.8520474755371243,14818,0.6794526820140337,0.7163609877864652,0.03690830577243143,0.0029185450972907382,0.7514449354921963,0.07199225347816252,0.00362448394324159,0.8490595415493564,0.16960685953532262,0.004272619414360658,14818,1.0,0.8255890441275917,14248,0.8726110105861957,14248,0.8193307507563932,0.8234242949393136,0.0040935441829204056,0.0009130403839867058,0.8298879029407991,0.010557152184405894,0.0012882511434096735,0.8715630882599125,0.0522323375035193,0.002399018618064254,14248
EIF3H:HepG2,EIF3H,HepG2,1.0,0.696608290689269,5654,0.8362553020678738,5654,0.6428035083895264,0.6823398956622363,0.039536387272709916,0.00497050271699013,0.6938394973228615,0.051035988933335164,0.005935722183520671,0.8229772812045753,0.18017377281504887,0.007224835225757403,5654,1.0,0.6545247988086118,5664,0.8116883019726132,5664,0.5376200215854321,0.622232745619075,0.08461272403364295,0.008404314173368815,0.6497776121963676,0.11215759061093555,0.00893355400223942,0.7996759192760702,0.2620558976906381,0.008881197551121543,5664,1.0,0.6655212402412485,5654,0.768450270266415,5654,0.709288833772172,0.7157257027683804,0.0064368689962084336,0.0022562258986854773,0.7119237420652761,0.002634908293104088,0.0014090294257375505,0.7638124663019403,0.05452363252976833,0.004822262969560548,5654
ELAC2:K562,ELAC2,K562,1.0,0.962293008105543,26288,0.9712326391654371,26288,0.9531685216131145,0.9584819554842487,0.005313433871134254,0.00040029414724171924,0.9595933802138882,0.006424858600773686,0.00040611821436921126,0.9672771299809702,0.014108608367855657,0.000612867619468465,26288,1.0,0.8859713309659047,25866,0.9187610797780249,25866,0.8504695036554191,0.8706142176325022,0.020144713977083173,0.0010542984892369844,0.8822834987227769,0.031813995067357825,0.001339948762175525,0.9116410255021375,0.06117152184671848,0.001730964655873568,25866,1.0,0.9544607673871595,26288,0.9665358415504423,26288,0.9418480343118169,0.9522251230714119,0.010377088759595088,0.0005599003043622715,0.9521738741869173,0.010325839875100495,0.0005042746390884575,0.963818357005448,0.021970322693631195,0.0007809257962825718,26288
ELAVL1:K562,ELAVL1,K562,1.0,0.9561829494473599,17642,0.9660372945954367,17642,0.9415679526502242,0.9479729486326834,0.0064049959824592495,0.0005339573467268436,0.9555186971306184,0.01395074448039424,0.0007493018208649544,0.9638896604616878,0.022321707811463587,0.0009873566610822814,17642,1.0,0.8337449382286892,17608,0.8686736373599129,17608,0.6950240081281464,0.7455746592819216,0.05055065115377522,0.002799228502822039,0.8319647903837853,0.136940782255639,0.003668240673931739,0.8641450589040833,0.16912105077593698,0.003754308316984966,17608,1.0,0.9662787287311672,17642,0.9800204706228081,17642,0.9525746297961724,0.9652206583466522,0.012646028550479804,0.0007576867482430348,0.9658080889585959,0.013233459162423578,0.0007379049881537322,0.9771423973417518,0.024567767545579433,0.0010356432814374397,17642
