dataset,protein,cell,arm,model,n,fold_agreement,max_chroms_per_score_fold,max_chroms_per_table_fold,cross_fold_neighbours_score,cross_fold_neighbours_table
G3BP1:HepG2,G3BP1,HepG2,gc,cnn,12956,1.0,5,5,0.0,0.0
G3BP1:HepG2,G3BP1,HepG2,gc,splicebert,12956,1.0,5,5,0.0,0.0
G3BP1:HepG2,G3BP1,HepG2,dn,cnn,12964,1.0,5,5,0.0,0.0
G3BP1:HepG2,G3BP1,HepG2,dn,splicebert,12964,1.0,5,5,0.0,0.0
GARS:K562,GARS,K562,gc,cnn,1114,1.0,5,5,0.0,0.0
GARS:K562,GARS,K562,gc,splicebert,1114,1.0,5,5,0.0,0.0
GARS:K562,GARS,K562,dn,cnn,1132,1.0,5,5,0.0,0.0
GARS:K562,GARS,K562,dn,splicebert,1132,1.0,5,5,0.0,0.0
GEMIN5:K562,GEMIN5,K562,gc,cnn,5020,1.0,5,5,0.0,0.0
GEMIN5:K562,GEMIN5,K562,gc,splicebert,5020,1.0,5,5,0.0,0.0
GEMIN5:K562,GEMIN5,K562,dn,cnn,5280,1.0,5,5,0.0,0.0
GEMIN5:K562,GEMIN5,K562,dn,splicebert,5280,1.0,5,5,0.0,0.0
GRSF1:HepG2,GRSF1,HepG2,gc,cnn,1990,1.0,5,5,0.0,0.0
GRSF1:HepG2,GRSF1,HepG2,gc,splicebert,1990,1.0,5,5,0.0,0.0
GRSF1:HepG2,GRSF1,HepG2,dn,cnn,2016,1.0,5,5,0.0,0.0
GRSF1:HepG2,GRSF1,HepG2,dn,splicebert,2016,1.0,5,5,0.0,0.0
GRWD1:HepG2,GRWD1,HepG2,gc,cnn,44144,1.0,5,5,0.0,0.0
GRWD1:HepG2,GRWD1,HepG2,gc,splicebert,44144,1.0,5,5,0.0,0.0
GRWD1:HepG2,GRWD1,HepG2,dn,cnn,44156,1.0,5,5,0.0,0.0
GRWD1:HepG2,GRWD1,HepG2,dn,splicebert,44156,1.0,5,5,0.0,0.0
GRWD1:K562,GRWD1,K562,gc,cnn,8746,1.0,5,5,0.0,0.0
GRWD1:K562,GRWD1,K562,gc,splicebert,8746,1.0,5,5,0.0,0.0
GRWD1:K562,GRWD1,K562,dn,cnn,8750,1.0,5,5,0.0,0.0
GRWD1:K562,GRWD1,K562,dn,splicebert,8750,1.0,5,5,0.0,0.0
GTF2F1:HepG2,GTF2F1,HepG2,gc,cnn,8502,1.0,5,5,0.0,0.0
GTF2F1:HepG2,GTF2F1,HepG2,gc,splicebert,8502,1.0,5,5,0.0,0.0
GTF2F1:HepG2,GTF2F1,HepG2,dn,cnn,8940,0.851006711409396,23,5,0.14395973154362415,0.0
GTF2F1:HepG2,GTF2F1,HepG2,dn,splicebert,8940,0.851006711409396,23,5,0.14395973154362415,0.0
HLTF:HepG2,HLTF,HepG2,gc,cnn,7284,1.0,5,5,0.0,0.0
HLTF:HepG2,HLTF,HepG2,gc,splicebert,7284,1.0,5,5,0.0,0.0
HLTF:HepG2,HLTF,HepG2,dn,cnn,7290,1.0,5,5,0.0,0.0
HLTF:HepG2,HLTF,HepG2,dn,splicebert,7290,1.0,5,5,0.0,0.0
