protein,cell,pairs,dataset
LARP4,K562,430,LARP4:K562
LIN28B,HepG2,3762,LIN28B:HepG2
LIN28B,K562,6916,LIN28B:K562
LSM11,HepG2,2446,LSM11:HepG2
LSM11,K562,1339,LSM11:K562
MATR3,HepG2,6991,MATR3:HepG2
MATR3,K562,4866,MATR3:K562
MBNL1,K562,1202,MBNL1:K562
METAP2,K562,3120,METAP2:K562
METTL1,K562,481,METTL1:K562
MORC2,K562,891,MORC2:K562
MTPAP,K562,1083,MTPAP:K562
NCBP2,HepG2,3226,NCBP2:HepG2
NCBP2,K562,406,NCBP2:K562
NKRF,HepG2,3794,NKRF:HepG2
NOLC1,HepG2,1628,NOLC1:HepG2
NOLC1,K562,1570,NOLC1:K562
NONO,K562,11333,NONO:K562
NSUN2,HepG2,484,NSUN2:HepG2
PABPC4,K562,5828,PABPC4:K562
PABPN1,HepG2,3949,PABPN1:HepG2
PCBP1,HepG2,940,PCBP1:HepG2
PCBP1,K562,2026,PCBP1:K562
PCBP2,HepG2,8526,PCBP2:HepG2
PHF6,K562,695,PHF6:K562
PPIG,HepG2,23135,PPIG:HepG2
PPIL4,K562,659,PPIL4:K562
PRPF4,HepG2,9159,PRPF4:HepG2
PRPF8,HepG2,19698,PRPF8:HepG2
PRPF8,K562,11280,PRPF8:K562
PTBP1,HepG2,7988,PTBP1:HepG2
PTBP1,K562,7608,PTBP1:K562
PUM1,K562,2658,PUM1:K562
PUM2,K562,5382,PUM2:K562
QKI,HepG2,9990,QKI:HepG2
QKI,K562,2189,QKI:K562
RBFOX2,HepG2,7457,RBFOX2:HepG2
RBFOX2,K562,3519,RBFOX2:K562
RBM15,HepG2,1500,RBM15:HepG2
RBM15,K562,9410,RBM15:K562
RBM22,HepG2,1881,RBM22:HepG2
RBM22,K562,991,RBM22:K562
RBM5,HepG2,641,RBM5:HepG2
RNF187,K562,696,RNF187:K562
RPS3,HepG2,5658,RPS3:HepG2
RPS3,K562,2372,RPS3:K562
RYBP,K562,756,RYBP:K562
SAFB2,K562,3744,SAFB2:K562
SAFB,K562,527,SAFB:K562
SDAD1,HepG2,913,SDAD1:HepG2
SF3A3,HepG2,2357,SF3A3:HepG2
SF3B4,HepG2,5908,SF3B4:HepG2
SF3B4,K562,10270,SF3B4:K562
SFPQ,HepG2,2564,SFPQ:HepG2
SLTM,HepG2,1273,SLTM:HepG2
SLTM,K562,3640,SLTM:K562
SMNDC1,K562,2465,SMNDC1:K562
SND1,HepG2,7095,SND1:HepG2
SND1,K562,4132,SND1:K562
SRSF1,HepG2,1791,SRSF1:HepG2
SRSF1,K562,3864,SRSF1:K562
SRSF7,HepG2,433,SRSF7:HepG2
SRSF7,K562,504,SRSF7:K562
SRSF9,HepG2,666,SRSF9:HepG2
STAU2,HepG2,848,STAU2:HepG2
SUB1,HepG2,3297,SUB1:HepG2
SUGP2,HepG2,14413,SUGP2:HepG2
TAF15,HepG2,768,TAF15:HepG2
TAF15,K562,545,TAF15:K562
TARDBP,HepG2,17722,TARDBP:HepG2
TARDBP,K562,4586,TARDBP:K562
TIA1,HepG2,1729,TIA1:HepG2
TIA1,K562,5883,TIA1:K562
TIAL1,HepG2,2382,TIAL1:HepG2
TRA2A,HepG2,921,TRA2A:HepG2
TRA2A,K562,1739,TRA2A:K562
TROVE2,K562,472,TROVE2:K562
U2AF1,HepG2,1094,U2AF1:HepG2
U2AF1,K562,1230,U2AF1:K562
U2AF2,HepG2,10702,U2AF2:HepG2
U2AF2,K562,3640,U2AF2:K562
UCHL5,HepG2,2233,UCHL5:HepG2
UCHL5,K562,18565,UCHL5:K562
UPF1,HepG2,9760,UPF1:HepG2
UPF1,K562,13412,UPF1:K562
XPO5,HepG2,4615,XPO5:HepG2
XRCC6,K562,860,XRCC6:K562
XRN2,HepG2,1569,XRN2:HepG2
XRN2,K562,1435,XRN2:K562
YBX3,HepG2,2042,YBX3:HepG2
YBX3,K562,17979,YBX3:K562
YWHAG,K562,798,YWHAG:K562
ZC3H11A,HepG2,1155,ZC3H11A:HepG2
ZC3H11A,K562,1194,ZC3H11A:K562
ZNF622,K562,14969,ZNF622:K562
ZNF800,HepG2,2938,ZNF800:HepG2
ZNF800,K562,2436,ZNF800:K562
